Experiment Start: 20260519-142714
Args: Namespace(T=0.5, all_clients=False, alpha=1.2, beta=0.8, bs=128, dataset='cifar10', dd_alpha=0.5, device=device(type='cuda', index=0), epochs=200, fed_method='fedavg', forget_rate=0.2, frac=0.1, gpu=0, group_noise_rate=[0.0, 0.4], iid=False, labeling='soft', lambda_u=25, local_bs=50, local_ep=5, lr=0.01, lr_decay=0.1, method='fedrn', mm_alpha=4, model='cnn4conv', momentum=0.5, noise_group_num=[100], noise_type_lst=['symmetric'], num_channels=3, num_classes=10, num_neighbors=2, num_shards=200, num_users=100, num_workers=0, p_threshold=0.5, partition='shard', queue_size=15, schedule=[], seed=1, send_2_models=False, split='user', uncertainty_threshold=0.05, verbose=False, w_alpha=0.6, warmup_epochs=100, weight_decay=0)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
0,16.954000,2.335962,20.600000,2.294725,1.135471,41.06
1,17.548000,2.261588,20.990000,2.187254,1.179036,73.45
2,15.412000,2.328092,15.450000,2.266273,1.066254,104.82
3,21.434000,2.218163,24.460000,2.126061,1.089501,136.21
4,23.998000,2.180182,28.350000,2.072852,1.193401,167.77
5,22.004000,2.180728,27.100000,2.062116,1.364278,199.39
6,24.720000,2.121446,30.710000,1.996647,1.108610,231.74
7,19.408000,2.245860,22.570000,2.113569,0.986162,265.82
8,25.210000,2.100647,30.550000,1.969582,0.820029,298.99
9,21.132000,2.106310,24.050000,1.993419,1.095602,331.28
10,17.920000,2.311348,21.400000,2.155574,1.126975,362.30
11,20.264000,2.162811,25.050000,2.010673,1.110179,393.41
12,22.110000,2.121964,24.730000,2.003374,1.188013,424.57
13,25.758000,2.073053,30.690000,1.931604,1.036447,455.72
14,24.502000,2.092722,29.050000,1.949521,0.917699,486.75
15,20.694000,2.086932,25.100000,1.928689,1.055194,517.70
16,26.924000,2.023066,33.580000,1.861520,0.896827,548.62
17,31.062000,1.996752,38.660000,1.832116,1.156594,579.78
18,26.346000,2.068694,33.030000,1.902747,1.152548,611.08
19,28.430000,2.035704,33.060000,1.908871,1.172928,642.26
20,29.916000,2.025022,36.520000,1.877599,0.965868,673.47
21,31.426000,2.001513,38.100000,1.846098,1.024155,704.44
22,27.772000,2.079464,32.010000,1.924220,1.023939,735.53
23,26.628000,2.038699,32.240000,1.895087,1.050218,766.41
24,24.878000,2.055266,30.770000,1.900292,1.040552,797.52
25,27.972000,2.039611,35.120000,1.863495,0.917311,828.31
26,25.762000,2.057472,31.270000,1.889108,1.058668,859.36
27,30.376000,1.978302,37.370000,1.816205,0.959943,891.19
28,31.346000,1.979040,38.340000,1.793920,1.041507,922.62
29,29.772000,2.010562,35.340000,1.851027,0.978508,953.70
30,25.560000,2.050710,28.410000,1.914865,0.880823,984.75
31,28.742000,2.014122,30.860000,1.899273,1.028932,1015.77
32,31.746000,1.955711,37.850000,1.811023,1.145327,1046.75
33,29.576000,2.005887,35.960000,1.865246,1.175021,1077.79
34,33.362000,1.956141,39.170000,1.794317,0.839539,1108.91
35,27.610000,2.026123,33.930000,1.863192,1.079676,1139.72
