Experiment Start: 20260616-230210
Args: Namespace(method='default', epochs=500, num_users=100, frac=0.1, local_ep=5, local_bs=50, bs=128, lr=0.01, momentum=0.5, split='user', schedule=[], lr_decay=0.1, weight_decay=0, partition='shard', dd_alpha=0.5, num_shards=200, fed_method='fedavg', model='cnn4conv', dataset='cifar10', iid=False, num_classes=10, num_channels=3, gpu=0, verbose=False, seed=1, all_clients=False, num_workers=4, noise_type_lst=['symmetric'], noise_group_num=[100], group_noise_rate=[0.4], warmup_epochs=100, queue_size=15, forget_rate=0.2, uncertainty_threshold=0.05, alpha=1.2, beta=0.8, labeling='soft', mm_alpha=4, lambda_u=25, T=0.5, p_threshold=0.5, num_neighbors=2, w_alpha=0.5, device=device(type='cuda', index=0), send_2_models=False)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
0,13.050000,2.330672,15.440000,2.291738,1.720317,6.74
1,13.546000,2.301554,17.410000,2.241925,1.716604,12.63
2,14.834000,2.298867,16.620000,2.244728,1.706598,18.73
3,16.722000,2.271833,21.680000,2.189633,1.674723,26.61
4,17.690000,2.289713,24.100000,2.217128,1.701951,33.30
5,16.690000,2.269282,22.740000,2.176764,1.693121,39.94
6,17.804000,2.246268,25.130000,2.134592,1.667784,46.96
7,18.412000,2.250033,24.720000,2.125491,1.650354,53.54
8,18.974000,2.227200,26.800000,2.104967,1.676399,60.61
9,17.236000,2.224363,20.680000,2.118910,1.647260,67.13
10,16.302000,2.273456,21.570000,2.147796,1.664912,74.17
11,17.488000,2.232085,23.990000,2.104736,1.668906,80.72
12,18.522000,2.212459,24.580000,2.087589,1.670125,87.83
13,18.004000,2.219325,21.890000,2.099820,1.646349,94.39
14,19.224000,2.215173,26.290000,2.078103,1.653122,101.10
15,16.228000,2.235573,21.190000,2.114249,1.667564,108.15
16,19.466000,2.213395,26.730000,2.098135,1.640782,115.29
17,19.688000,2.198903,26.050000,2.052816,1.646129,122.42
18,20.036000,2.213397,28.320000,2.067757,1.637504,129.05
19,17.928000,2.206699,23.530000,2.086596,1.650850,136.18
20,19.398000,2.213745,26.840000,2.101296,1.653856,142.80
21,20.638000,2.209734,27.220000,2.088573,1.629248,149.85
22,18.738000,2.220082,23.750000,2.089133,1.625280,156.44
23,19.054000,2.213413,24.780000,2.095530,1.624587,163.51
24,20.310000,2.187182,27.850000,2.038648,1.616893,170.10
25,18.614000,2.218583,24.460000,2.097112,1.622365,177.35
26,20.512000,2.213242,28.270000,2.077172,1.656457,184.02
27,18.614000,2.207603,25.510000,2.070094,1.630125,190.64
28,22.000000,2.185533,29.970000,2.025681,1.616394,197.81
29,21.888000,2.192411,30.270000,2.046973,1.604450,204.47
30,20.016000,2.202078,24.600000,2.077315,1.622996,211.63
31,20.714000,2.189144,26.320000,2.052654,1.627975,218.27
32,20.652000,2.189523,27.900000,2.059393,1.635682,225.32
33,18.316000,2.225900,24.080000,2.113969,1.645931,231.90
34,20.354000,2.193560,26.900000,2.054431,1.593640,238.89
35,20.222000,2.215359,26.670000,2.077202,1.613369,245.42
36,20.684000,2.208452,28.350000,2.074311,1.596394,252.68
37,21.292000,2.182308,28.660000,2.026485,1.610004,259.32
38,22.044000,2.175050,29.100000,2.026042,1.603712,266.26
39,20.668000,2.192620,27.320000,2.057062,1.621235,273.23
40,21.292000,2.175440,27.950000,2.030535,1.609573,279.83
41,22.020000,2.172139,30.360000,2.007449,1.613076,286.77
42,22.028000,2.182604,30.690000,2.033308,1.580279,293.36
