epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,recovery_trigger,core_count,total_count,recover_count,train_count,actual_core_precision,actual_recover_precision,actual_train_precision,actual_train_clean_count
0,2.166546,20.350000,2.204576,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.548800,0.000000,0.548800,2744
1,1.953749,23.560000,2.110199,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.656800,0.000000,0.656800,3284
2,1.986274,19.210000,2.145307,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.592000,0.000000,0.592000,2960
3,1.930776,28.190000,2.035384,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.605600,0.000000,0.605600,3028
4,2.088208,29.400000,2.035330,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.524800,0.000000,0.524800,2624
5,1.521450,23.910000,2.143094,0.000000,0.000000,0.551200,0.119600,0.670800,1,2756,5000,598,3354,0.778794,0.570931,0.737523,2514
6,1.333336,25.940000,2.145241,0.000000,0.000000,0.534800,0.000000,0.534800,0,2674,5000,0,2674,0.722569,0.000000,0.722569,1897
7,1.346377,22.690000,2.336779,0.000000,0.000000,0.667800,0.000000,0.667800,0,3339,5000,0,3339,0.690456,0.000000,0.690456,2390
8,1.330106,25.710000,2.306896,0.000000,0.000000,0.682000,0.000000,0.682000,0,3410,5000,0,3410,0.760398,0.000000,0.760398,2587
9,1.482470,30.290000,2.261594,0.000000,0.000000,0.651000,0.000000,0.651000,0,3255,5000,0,3255,0.668899,0.000000,0.668899,2092
10,1.820918,28.820000,2.216693,0.000000,0.000000,0.721000,0.025600,0.746600,1,3605,5000,128,3733,0.557077,0.508078,0.568506,2104
11,1.588557,33.190000,2.197978,0.000000,0.000000,0.774600,0.000000,0.774600,0,3873,5000,0,3873,0.668977,0.000000,0.668977,2650
12,1.454570,33.370000,2.223979,0.000000,0.000000,0.678800,0.000000,0.678800,0,3394,5000,0,3394,0.708953,0.000000,0.708953,2408
13,1.603019,32.420000,2.313302,0.000000,0.000000,0.790400,0.000000,0.790400,0,3952,5000,0,3952,0.648844,0.000000,0.648844,2565
14,1.435733,33.040000,2.320164,0.000000,0.000000,0.680400,0.000000,0.680400,0,3402,5000,0,3402,0.687114,0.000000,0.687114,2281
15,1.696443,30.410000,2.285765,0.000000,0.000000,0.801800,0.019600,0.821400,1,4009,5000,98,4107,0.656059,0.332461,0.655811,2678
16,1.786502,28.660000,2.370805,0.000000,0.000000,0.693600,0.000000,0.693600,0,3468,5000,0,3468,0.507220,0.000000,0.507220,1754
17,1.670778,30.820000,2.385458,0.000000,0.000000,0.727800,0.000000,0.727800,0,3639,5000,0,3639,0.574925,0.000000,0.574925,2032
18,1.729495,31.090000,2.402823,0.000000,0.000000,0.811000,0.000000,0.811000,0,4055,5000,0,4055,0.604278,0.000000,0.604278,2505
