epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,recovery_trigger,core_count,total_count,recover_count,train_count,actual_core_precision,actual_recover_precision,actual_train_precision,actual_train_clean_count
0,1.124380,19.960000,2.211371,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.807360,0.000000,0.807360,20184
1,1.195573,25.490000,2.117048,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.790720,0.000000,0.790720,19768
2,1.181804,29.200000,2.046685,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.786720,0.000000,0.786720,19668
3,1.185194,31.310000,2.016320,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.782720,0.000000,0.782720,19568
4,1.080571,32.740000,1.989900,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.813680,0.000000,0.813680,20342
5,1.090433,34.230000,1.955089,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.805280,0.000000,0.805280,20132
6,1.118732,36.260000,1.934380,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.801680,0.000000,0.801680,20042
7,1.116485,33.380000,1.946094,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.795520,0.000000,0.795520,19888
8,1.038910,38.500000,1.897253,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.822480,0.000000,0.822480,20562
9,1.122287,39.620000,1.882736,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.795760,0.000000,0.795760,19894
10,1.086678,40.030000,1.875584,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.802880,0.000000,0.802880,20072
11,1.059258,39.410000,1.869092,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.801360,0.000000,0.801360,20034
12,1.021881,41.470000,1.849260,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.818960,0.000000,0.818960,20474
13,0.990597,40.630000,1.855445,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.819680,0.000000,0.819680,20492
14,1.093972,40.270000,1.853763,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.795040,0.000000,0.795040,19876
15,1.082613,39.780000,1.864162,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.799520,0.000000,0.799520,19988
16,1.108858,39.690000,1.853152,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.790160,0.000000,0.790160,19754
17,1.091919,41.250000,1.834443,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.795440,0.000000,0.795440,19886
18,1.087983,42.520000,1.825973,0.000000,0.000000,1.000000,0.000000,1.000000,0,25000,25000,0,25000,0.792880,0.000000,0.792880,19822
