epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
0,13.294000,2.333763,15.990000,2.292487,1.725807,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
1,13.850000,2.297670,18.130000,2.239113,1.716551,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
2,14.996000,2.289413,16.960000,2.233745,1.708756,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
3,16.710000,2.273585,20.920000,2.190498,1.670513,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
4,17.666000,2.287978,24.070000,2.212424,1.698842,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
5,16.740000,2.273738,23.210000,2.171335,1.691475,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
6,17.434000,2.249422,24.370000,2.148107,1.665906,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
7,17.388000,2.263511,20.480000,2.159525,1.653798,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
8,18.620000,2.236984,25.700000,2.125333,1.679902,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
9,17.726000,2.233520,21.990000,2.131098,1.643689,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
10,16.284000,2.281008,21.220000,2.171665,1.665182,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
11,17.554000,2.238582,23.740000,2.115809,1.665681,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
12,18.584000,2.215330,23.590000,2.102196,1.670149,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
13,18.370000,2.219288,22.880000,2.098814,1.648475,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
14,19.496000,2.212619,27.440000,2.077807,1.660412,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
15,15.818000,2.234389,18.680000,2.129863,1.668686,10,5000,3000,2000,5000,0,5000,3000,2000,0,2000,0,0.600000,1.000000,0.000000,0.600000,1.000000,1.000000
