epoch,train_loss,personal_acc,personal_loss,selected_clients,avg_unique_labels_per_client,selected_train_label_correct
0,1.585268,9.775900,2.494759,10,1.900000,0.643200
1,1.635820,10.385500,2.544785,10,1.900000,0.596000
2,1.439808,10.911700,2.643732,10,1.900000,0.622400
3,1.577992,11.414600,2.671782,10,1.900000,0.619200
4,1.648838,11.802800,2.702475,10,1.900000,0.584800
5,1.845224,12.023400,2.713863,10,1.900000,0.454400
6,1.512508,12.240800,2.740037,10,1.900000,0.602400
7,1.375165,12.561800,2.762310,10,1.900000,0.632800
8,1.090922,12.826100,2.826299,10,1.900000,0.754400
9,1.519716,13.119900,2.851708,10,1.900000,0.550400
10,1.468350,13.178300,2.852812,10,1.900000,0.577600
11,1.480906,13.384400,2.873788,10,1.900000,0.588000
12,1.637212,13.538400,2.880342,10,1.900000,0.547200
13,1.377495,13.630400,2.898340,10,1.900000,0.629600
14,1.213127,13.798200,2.918662,10,1.900000,0.698400
15,1.445428,14.036000,2.950370,10,1.900000,0.632000
16,1.153548,14.097800,2.972749,10,1.900000,0.701600
17,1.518920,14.156700,2.977259,10,1.900000,0.556000
18,1.578017,14.284900,2.984622,10,1.900000,0.526400
19,1.565973,14.357500,2.992054,10,1.900000,0.543200
20,1.260856,14.458800,3.010245,10,1.900000,0.654400
21,1.437499,14.757800,3.031946,10,1.900000,0.634400
22,1.308283,14.732200,3.040466,10,1.900000,0.605600
23,1.289809,14.720300,3.046719,10,1.900000,0.600800
24,1.333861,14.825100,3.057992,10,1.900000,0.605600
25,1.205919,14.850100,3.064401,10,1.900000,0.672800
26,1.295721,14.857800,3.069348,10,1.900000,0.641600
27,1.173944,14.941600,3.085901,10,1.900000,0.664800
28,1.343049,14.957900,3.089731,10,1.900000,0.593600
29,1.223639,14.973100,3.093946,10,1.900000,0.652800
30,1.076077,15.006400,3.092529,10,1.900000,0.700800
31,1.245273,15.046100,3.101493,10,1.900000,0.629600
32,1.419521,15.059200,3.109113,10,1.900000,0.557600
33,1.468055,15.099400,3.114931,10,1.900000,0.559200
34,1.112961,15.141000,3.120460,10,1.900000,0.699200
35,1.355655,15.140300,3.122168,10,1.900000,0.581600
36,1.047741,15.171400,3.185386,10,1.900000,0.685600
37,1.198254,15.162000,3.188160,10,1.900000,0.639200
38,1.668055,15.282100,3.198150,10,1.900000,0.429600
39,1.176878,15.239900,3.199981,10,1.900000,0.634400
40,1.149362,15.276600,3.201329,10,1.900000,0.639200
41,1.234088,15.249800,3.206697,10,1.900000,0.607200
42,1.211907,15.222200,3.212447,10,1.900000,0.622400
43,1.121408,15.180600,3.218972,10,1.900000,0.630400
44,1.207043,15.154200,3.222445,10,1.900000,0.595200
45,1.080261,15.119400,3.237104,10,1.900000,0.640800
46,1.211722,15.147400,3.241152,10,1.900000,0.574400
47,1.015320,15.158400,3.252608,10,1.900000,0.679200
48,1.287028,15.151700,3.268025,10,1.900000,0.551200
49,1.406705,15.125900,3.275164,10,1.900000,0.490400
50,1.262563,15.109000,3.285720,10,1.900000,0.582400
51,1.232913,15.112400,3.293662,10,1.900000,0.522400
52,1.179467,15.115700,3.300110,10,1.900000,0.627200
53,1.179341,15.124400,3.312056,10,1.900000,0.590400
54,1.328899,15.081700,3.314015,10,1.900000,0.511200
55,0.852351,15.050100,3.322607,10,1.900000,0.707200
56,1.109600,15.066500,3.323052,10,1.900000,0.624000
57,1.018181,15.105700,3.323995,10,1.900000,0.655200
58,1.124141,15.098400,3.333834,10,1.900000,0.609600
59,0.945850,15.081900,3.343695,10,1.900000,0.724000
60,1.179753,15.075600,3.354555,10,1.900000,0.584000
61,0.904043,15.105000,3.360920,10,1.900000,0.680000
62,1.106892,15.127800,3.369339,10,1.900000,0.576800
63,0.968869,15.122000,3.375562,10,1.900000,0.628000
64,0.871654,15.148900,3.378758,10,1.900000,0.692800
65,1.178989,15.147900,3.386912,10,1.900000,0.538400
66,1.167151,15.138400,3.395305,10,1.900000,0.529600
67,1.064876,15.129400,3.407510,10,1.900000,0.600800
68,0.910810,15.111300,3.413525,10,1.900000,0.666400
69,1.141325,15.085500,3.426858,10,1.900000,0.540000
70,1.002658,15.062000,3.434362,10,1.900000,0.641600
71,1.143299,15.142700,3.440852,10,1.900000,0.564800
72,1.182288,15.050700,3.447541,10,1.900000,0.522400
73,1.046665,15.058800,3.459204,10,1.900000,0.600000
74,1.063919,15.051400,3.475085,10,1.900000,0.596000
75,0.854519,15.075600,3.485592,10,1.900000,0.719200
76,1.260938,15.089900,3.488701,10,1.900000,0.508800
77,0.731619,15.086900,3.491540,10,1.900000,0.718400
78,1.248870,15.088000,3.499401,10,1.900000,0.476000
79,0.884612,15.090500,3.507907,10,1.900000,0.667200
80,1.501364,15.073500,3.511527,10,1.900000,0.364800
81,1.089380,15.025900,3.521732,10,1.900000,0.515200
82,0.930005,14.993500,3.530136,10,1.900000,0.672800
83,1.064079,15.007600,3.536058,10,1.900000,0.510400
84,0.870748,15.012100,3.542143,10,1.900000,0.638400
85,0.892968,14.987800,3.553069,10,1.900000,0.604800
86,1.063241,14.925900,3.554995,10,1.900000,0.491200
87,0.867235,14.954900,3.563275,10,1.900000,0.640800
88,0.838969,14.948200,3.571005,10,1.900000,0.619200
89,1.045636,14.887000,3.572586,10,1.900000,0.568000
90,0.709773,14.877900,3.579244,10,1.900000,0.709600
91,0.798236,14.910400,3.597918,10,1.900000,0.556800
92,0.946268,14.915600,3.613163,10,1.900000,0.562400
93,0.781122,14.890300,3.617029,10,1.900000,0.729600
94,0.946640,14.883100,3.626050,10,1.900000,0.538400
95,0.510609,14.874900,3.636796,10,1.900000,0.812000
96,0.567765,14.865000,3.652029,10,1.900000,0.777600
97,1.100728,14.836900,3.661335,10,1.900000,0.421600
98,0.735552,14.854800,3.668057,10,1.900000,0.684800
99,0.603873,14.861800,3.675309,10,1.900000,0.729600
100,0.805537,14.821700,3.680427,10,1.900000,0.624800
101,0.705935,14.834100,3.689677,10,1.900000,0.700000
102,0.671489,14.836500,3.692547,10,1.900000,0.744000
103,0.801333,14.810800,3.712218,10,1.900000,0.632800
104,0.802851,14.800700,3.728754,10,1.900000,0.647200
105,0.854764,14.778900,3.741149,10,1.900000,0.608800
106,0.792029,14.782200,3.743809,10,1.900000,0.628800
107,0.953975,14.793200,3.752092,10,1.900000,0.554400
108,0.727672,14.777800,3.761074,10,1.900000,0.645600
109,0.890306,14.739000,3.770503,10,1.900000,0.544800
110,1.025604,14.713400,3.778616,10,1.900000,0.459200
111,0.946626,14.691500,3.781344,10,1.900000,0.512800
112,0.587278,14.704800,3.790518,10,1.900000,0.712000
113,0.906418,14.721100,3.797719,10,1.900000,0.420000
114,0.691800,14.692300,3.810524,10,1.900000,0.604000
115,0.847714,14.689300,3.828483,10,1.900000,0.604800
116,0.944422,14.670800,3.840206,10,1.900000,0.500800
117,0.873033,14.675700,3.849606,10,1.900000,0.522400
118,0.843857,14.642700,3.856494,10,1.900000,0.539200
119,0.586863,14.593200,3.862392,10,1.900000,0.689600
