epoch,train_loss,personal_acc,personal_loss,selected_clients,avg_unique_labels_per_client,selected_train_label_correct
0,1.559678,14.440700,2.527812,50,1.900000,0.614720
1,1.633872,14.977600,2.583848,50,1.900000,0.581440
2,1.618438,14.802000,2.664082,50,1.900000,0.573440
3,1.613118,15.029800,2.695761,50,1.900000,0.565440
4,1.464667,15.366800,2.731175,50,1.900000,0.627360
5,1.471839,15.607300,2.760376,50,1.900000,0.610560
6,1.495568,15.670000,2.780837,50,1.900000,0.603360
7,1.519722,15.735300,2.796996,50,1.900000,0.591040
8,1.376799,15.900700,2.817827,50,1.900000,0.644960
9,1.497030,16.002800,2.822791,50,1.900000,0.591520
10,1.447914,15.984500,2.840393,50,1.900000,0.605760
11,1.411906,15.998000,2.859829,50,1.900000,0.602720
