epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
0,1.568262,50,0.615750,32.577500,45.485000,1.940636,0.092125,98.507463,343,83.965015,3342,1.000000,44.760000,1.681229
1,1.582331,50,0.582350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
2,1.530813,50,0.574450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
3,1.484241,50,0.566400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
4,1.307837,50,0.628450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
5,1.291921,50,0.611550,58.590000,77.497500,1.268146,0.218100,98.555708,610,83.770492,8114,0.996672,74.910000,0.949110
6,1.277201,50,0.604300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
7,1.248894,50,0.592050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
8,1.123005,50,0.646000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
9,1.187889,50,0.592500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
10,1.108110,50,0.606750,65.085000,76.837500,1.066382,0.273200,98.618228,578,89.792388,10350,0.991111,73.950000,0.932265
11,1.072972,50,0.603750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
12,0.999602,50,0.638850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
13,0.910791,50,0.640450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
14,0.995127,50,0.591100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
15,0.992289,50,0.599950,71.435000,72.575000,0.888978,0.326425,97.227541,452,86.946903,12605,0.975962,70.130000,0.986023
16,0.958960,50,0.581300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
17,0.886058,50,0.591850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
18,0.877202,50,0.586700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
19,0.796657,50,0.616000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
20,0.815475,50,0.560150,78.020000,68.667500,0.710069,0.392225,93.403021,348,87.643678,15341,0.935337,67.180000,1.060688
21,0.707334,50,0.634450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
22,0.705547,50,0.603650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
23,0.620400,50,0.615150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
24,0.637351,50,0.598000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
25,0.633819,50,0.610450,83.527500,66.720000,0.564552,0.463175,88.611216,279,88.530466,18248,0.886125,66.080000,1.082427
26,0.585306,50,0.588350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
27,0.532979,50,0.630250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
28,0.531047,50,0.613200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
29,0.529517,50,0.589000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
30,0.523141,50,0.580200,87.940000,64.150000,0.439623,0.546000,82.765568,263,76.045627,21577,0.828475,63.470000,1.165972
31,0.412324,50,0.633650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
32,0.483124,50,0.547700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
