epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
0,1.140648,50,0.808350,36.297500,42.972500,1.792675,0.035150,98.719772,92,80.434783,1314,1.000000,42.810000,1.593706
1,1.171991,50,0.791700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
2,1.147055,50,0.787800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
3,1.130432,50,0.783700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
4,1.024357,50,0.814650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
5,1.025208,50,0.806300,67.032500,82.025000,1.111280,0.180525,98.504362,680,84.411765,6541,0.999694,81.030000,0.648873
6,1.045683,50,0.802600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
7,1.037729,50,0.796550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
8,0.952158,50,0.823550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
9,1.028550,50,0.796750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
10,0.993163,50,0.803850,69.972500,85.870000,1.026950,0.282575,98.265947,1177,83.772302,10126,0.999506,84.340000,0.559821
11,0.957133,50,0.802400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
12,0.913065,50,0.819950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
13,0.878681,50,0.820700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
14,0.976109,50,0.796100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
