epoch,train_loss,personal_apa,personal_loss,selected_clients,avg_unique_labels_per_client
0,1.591740,18.380000,2.258020,10,1.900000
1,1.625095,26.530000,2.065709,10,1.900000
2,1.442978,32.870000,1.935667,10,1.900000
3,1.558601,37.730000,1.833980,10,1.900000
4,1.633153,41.240000,1.748003,10,1.900000
5,1.872870,43.270000,1.729139,10,1.900000
6,1.563113,46.510000,1.661271,10,1.900000
7,1.379177,49.790000,1.586526,10,1.900000
8,1.095516,53.540000,1.494089,10,1.900000
9,1.506544,56.000000,1.465722,10,1.900000
10,1.521980,54.980000,1.454775,10,1.900000
11,1.511951,57.840000,1.402037,10,1.900000
12,1.643173,60.130000,1.370742,10,1.900000
13,1.420081,60.870000,1.350415,10,1.900000
14,1.257848,62.710000,1.302597,10,1.900000
15,1.450178,65.880000,1.246040,10,1.900000
16,1.230968,66.930000,1.206616,10,1.900000
17,1.581240,67.680000,1.182162,10,1.900000
18,1.612176,68.870000,1.165565,10,1.900000
19,1.603427,70.770000,1.148166,10,1.900000
20,1.338063,71.620000,1.124773,10,1.900000
21,1.450801,74.430000,1.064666,10,1.900000
22,1.403979,74.360000,1.052964,10,1.900000
23,1.419260,75.020000,1.061546,10,1.900000
24,1.429444,75.360000,1.044901,10,1.900000
25,1.280477,75.400000,1.033343,10,1.900000
26,1.390889,75.810000,1.025600,10,1.900000
27,1.286342,75.800000,1.013272,10,1.900000
28,1.440181,75.690000,1.000099,10,1.900000
29,1.323753,76.070000,0.997984,10,1.900000
30,1.170597,76.070000,0.992113,10,1.900000
31,1.378247,76.210000,0.989810,10,1.900000
32,1.555304,77.150000,0.973733,10,1.900000
33,1.591570,76.930000,0.974499,10,1.900000
34,1.178249,78.710000,0.953105,10,1.900000
35,1.463710,77.560000,0.961322,10,1.900000
36,1.187056,78.180000,0.937684,10,1.900000
37,1.304189,79.230000,0.918539,10,1.900000
38,1.769138,80.020000,0.913180,10,1.900000
39,1.358336,79.770000,0.912756,10,1.900000
40,1.265868,80.170000,0.895507,10,1.900000
41,1.344871,80.200000,0.895523,10,1.900000
42,1.365928,79.820000,0.909588,10,1.900000
43,1.266438,80.320000,0.897521,10,1.900000
44,1.394001,79.600000,0.894060,10,1.900000
45,1.251887,80.410000,0.885335,10,1.900000
46,1.337115,79.450000,0.888899,10,1.900000
47,1.152080,80.370000,0.878295,10,1.900000
48,1.394824,79.780000,0.886634,10,1.900000
49,1.606468,79.750000,0.891191,10,1.900000
50,1.357101,80.290000,0.887795,10,1.900000
51,1.476702,80.110000,0.880831,10,1.900000
52,1.269062,79.980000,0.881178,10,1.900000
53,1.289424,79.750000,0.881835,10,1.900000
54,1.492498,79.340000,0.887983,10,1.900000
55,1.033146,79.520000,0.877362,10,1.900000
56,1.262982,80.270000,0.862705,10,1.900000
57,1.227523,79.860000,0.870561,10,1.900000
58,1.309172,80.250000,0.862004,10,1.900000
59,1.077138,80.600000,0.860124,10,1.900000
60,1.382906,80.220000,0.862680,10,1.900000
61,1.086804,80.730000,0.855606,10,1.900000
62,1.337600,79.830000,0.866380,10,1.900000
63,1.248698,80.180000,0.866020,10,1.900000
64,1.041750,79.720000,0.858772,10,1.900000
65,1.430272,78.940000,0.869854,10,1.900000
66,1.443547,79.430000,0.866960,10,1.900000
67,1.294830,79.500000,0.860534,10,1.900000
68,1.148504,79.530000,0.851116,10,1.900000
69,1.422213,79.110000,0.864830,10,1.900000
70,1.188187,79.410000,0.857916,10,1.900000
71,1.381733,79.260000,0.861588,10,1.900000
72,1.418773,78.750000,0.870382,10,1.900000
73,1.265574,78.840000,0.862000,10,1.900000
74,1.259614,78.820000,0.866443,10,1.900000
75,1.026696,78.260000,0.869584,10,1.900000
76,1.516844,78.300000,0.876108,10,1.900000
77,0.934772,79.140000,0.863137,10,1.900000
78,1.504655,78.470000,0.872885,10,1.900000
79,1.071428,78.640000,0.860842,10,1.900000
80,1.744183,78.320000,0.870777,10,1.900000
81,1.396395,77.600000,0.876866,10,1.900000
82,1.152631,77.740000,0.868346,10,1.900000
83,1.368617,77.530000,0.875043,10,1.900000
84,1.138623,77.770000,0.870304,10,1.900000
85,1.129669,77.210000,0.873810,10,1.900000
86,1.456501,77.200000,0.884809,10,1.900000
87,1.139417,77.110000,0.883527,10,1.900000
88,1.122634,77.190000,0.871023,10,1.900000
89,1.342467,77.190000,0.877781,10,1.900000
90,0.925616,76.630000,0.879843,10,1.900000
91,1.164489,76.770000,0.880015,10,1.900000
92,1.239797,76.770000,0.879243,10,1.900000
93,0.951800,76.320000,0.878059,10,1.900000
94,1.314877,75.730000,0.885786,10,1.900000
95,0.697963,76.360000,0.873824,10,1.900000
96,0.831322,77.010000,0.864266,10,1.900000
97,1.519417,76.090000,0.886955,10,1.900000
98,1.015488,76.230000,0.876892,10,1.900000
99,0.864819,76.530000,0.873079,10,1.900000
100,1.094695,76.340000,0.875073,10,1.900000
101,0.993971,75.520000,0.882124,10,1.900000
102,0.897420,76.340000,0.869415,10,1.900000
103,1.099633,76.140000,0.866526,10,1.900000
104,1.086155,76.390000,0.865002,10,1.900000
105,1.218162,76.010000,0.872839,10,1.900000
106,1.067513,75.660000,0.876780,10,1.900000
107,1.294579,75.350000,0.880468,10,1.900000
108,1.016291,75.430000,0.876243,10,1.900000
109,1.244014,75.750000,0.868523,10,1.900000
110,1.464493,74.720000,0.890994,10,1.900000
111,1.320038,74.820000,0.888475,10,1.900000
112,0.908935,74.970000,0.881446,10,1.900000
113,1.415889,74.340000,0.889732,10,1.900000
114,1.080538,74.380000,0.886896,10,1.900000
115,1.152742,74.640000,0.882161,10,1.900000
116,1.337915,74.450000,0.884392,10,1.900000
117,1.287723,74.840000,0.880491,10,1.900000
118,1.269422,74.820000,0.883997,10,1.900000
119,0.915858,75.080000,0.879711,10,1.900000
120,1.317725,74.570000,0.882132,10,1.900000
121,1.155625,74.390000,0.883309,10,1.900000
122,0.776397,74.340000,0.881366,10,1.900000
123,1.152813,74.260000,0.885091,10,1.900000
124,1.123644,73.760000,0.892264,10,1.900000
125,1.068306,73.720000,0.888299,10,1.900000
126,1.217653,73.630000,0.892994,10,1.900000
127,0.846514,72.960000,0.895582,10,1.900000
128,1.264116,73.090000,0.896463,10,1.900000
129,1.138781,73.230000,0.899468,10,1.900000
130,1.155037,72.920000,0.904964,10,1.900000
131,1.195601,73.520000,0.892419,10,1.900000
132,1.198287,73.620000,0.896934,10,1.900000
133,1.138564,73.210000,0.903059,10,1.900000
134,1.113040,73.480000,0.891538,10,1.900000
135,1.106579,73.280000,0.890246,10,1.900000
136,1.208798,72.680000,0.908811,10,1.900000
137,0.847288,73.230000,0.897110,10,1.900000
138,1.124911,72.510000,0.906805,10,1.900000
139,0.984946,72.210000,0.908696,10,1.900000
140,0.886206,71.790000,0.917796,10,1.900000
141,1.003061,72.260000,0.908560,10,1.900000
142,0.867900,72.240000,0.904775,10,1.900000
143,0.909636,72.680000,0.892540,10,1.900000
144,1.029508,72.430000,0.900123,10,1.900000
145,0.871059,72.410000,0.899305,10,1.900000
146,0.896092,72.810000,0.896588,10,1.900000
147,1.011230,71.890000,0.910742,10,1.900000
148,0.918224,71.900000,0.903632,10,1.900000
149,1.100748,71.500000,0.912800,10,1.900000
