epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
100,98,scoreA,5,21,21,9,58,47,17,17,18,26
100,98,fedrn,0,12,12,5,61,61,3,10,12,23
100,98,final,0,12,12,5,61,61,3,10,12,23
100,68,scoreA,1,7,0,0,4,1,91,0,0,83
100,68,fedrn,0,0,0,0,0,0,100,0,0,88
100,68,final,0,0,0,0,0,0,100,0,0,88
100,67,scoreA,4,86,3,18,8,6,5,7,106,4
100,67,fedrn,0,96,0,0,0,0,0,0,95,0
100,67,final,0,96,0,0,0,0,0,0,95,0
100,37,scoreA,0,1,1,1,0,132,2,131,1,2
100,37,fedrn,0,0,0,0,0,138,0,133,0,0
100,37,final,0,0,0,0,0,138,0,133,0,0
100,72,scoreA,5,88,6,2,7,15,1,5,6,91
100,72,fedrn,0,102,0,0,0,0,0,0,0,94
100,72,final,0,102,0,0,0,0,0,0,0,94
100,59,scoreA,111,0,2,7,1,2,0,96,2,1
100,59,fedrn,113,0,0,0,0,0,0,98,0,0
100,59,final,113,0,0,0,0,0,0,98,0,0
100,0,scoreA,0,0,325,0,0,0,0,0,0,0
100,0,fedrn,0,0,364,0,0,0,0,0,0,0
100,0,final,0,0,364,0,0,0,0,0,0,0
100,58,scoreA,2,6,7,1,106,3,0,3,5,97
100,58,fedrn,0,0,0,0,121,0,0,0,0,92
100,58,final,0,0,0,0,121,0,0,0,0,92
100,4,scoreA,0,0,0,0,0,0,0,191,176,0
100,4,fedrn,0,0,0,0,0,0,0,194,177,0
100,4,final,0,0,0,0,0,0,0,194,177,0
100,6,scoreA,0,179,0,0,0,0,183,0,0,0
100,6,fedrn,0,187,0,0,0,0,181,0,0,0
100,6,final,0,187,0,0,0,0,181,0,0,0
101,11,scoreA,0,0,0,0,172,136,0,0,0,0
101,11,fedrn,0,0,0,0,177,173,0,0,0,0
101,11,final,0,0,0,0,177,173,0,0,0,0
101,41,scoreA,112,0,1,135,0,0,2,0,0,1
101,41,fedrn,111,0,0,140,0,0,0,0,0,0
101,41,final,111,0,0,140,0,0,0,0,0,0
101,44,scoreA,2,0,2,1,5,1,118,132,5,1
101,44,fedrn,0,0,0,0,0,0,130,139,0,0
101,44,final,0,0,0,0,0,0,130,139,0,0
101,16,scoreA,156,0,0,163,0,0,0,0,0,0
101,16,fedrn,160,0,0,166,0,0,0,0,0,0
101,16,final,160,0,0,166,0,0,0,0,0,0
101,42,scoreA,0,137,0,3,4,1,1,0,112,1
101,42,fedrn,0,145,0,0,0,0,0,0,118,0
101,42,final,0,145,0,0,0,0,0,0,118,0
101,99,scoreA,16,20,20,19,35,12,23,15,37,57
101,99,fedrn,2,2,0,16,27,2,3,0,14,69
101,99,final,2,2,0,16,27,2,3,0,14,69
