epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,scoreA_clean_ratio,scoreA_precision,scoreA_recall,fedrn_clean_ratio,fedrn_precision,fedrn_recall,net2_bootstrap_clean_ratio,net2_bootstrap_precision,net2_bootstrap_recall,selection_precision,selection_recall,false_clean,missed_clean,phase,selected_net2_best_epoch_avg,selected_net2_best_holdout_acc_avg,selected_net2_current_holdout_acc_avg
0,16.900000,2.291250,1.594303,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,0.000000,79.000000,79.000000
1,17.940000,2.231262,1.620990,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,1.000000,78.600000,78.600000
2,16.180000,2.260830,1.445923,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,1.900000,74.400000,72.600000
3,20.880000,2.179780,1.582771,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,2.900000,81.600000,81.500000
4,23.000000,2.168655,1.665567,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,3.700000,76.500000,76.400000
5,25.020000,2.157191,1.896946,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,3.700000,70.000000,67.000000
6,21.950000,2.144751,1.581038,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,3.800000,83.200000,81.700000
7,24.450000,2.112193,1.409134,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,6.100000,85.300000,84.800000
8,28.680000,2.094739,1.129698,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,7.200000,80.800000,77.900000
9,20.910000,2.088092,1.534940,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,6.700000,76.900000,76.500000
10,19.320000,2.161912,1.579195,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,8.900000,78.700000,76.800000
11,21.520000,2.125177,1.535329,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,8.000000,72.900000,67.400000
12,26.980000,2.063587,1.695570,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,9.900000,77.500000,74.100000
13,23.700000,2.082981,1.473832,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,10.400000,78.400000,77.000000
14,25.750000,2.031861,1.307047,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,11.000000,86.200000,84.000000
15,23.260000,2.067697,1.457776,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,11.500000,74.800000,72.800000
16,32.270000,1.999185,1.279708,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,9.200000,85.600000,83.200000
17,30.750000,1.991322,1.624566,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,12.200000,73.700000,68.300000
18,26.270000,2.038769,1.652182,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,15.400000,79.800000,75.200000
19,27.160000,2.059063,1.665498,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,12.600000,78.700000,72.900000
20,29.510000,2.016093,1.373030,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,15.600000,79.200000,74.100000
21,32.880000,1.982748,1.502552,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,15.000000,85.700000,83.800000
22,25.290000,2.046267,1.474511,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,15.400000,80.000000,75.000000
23,26.810000,2.048196,1.491776,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,8.600000,83.000000,78.100000
24,28.130000,2.028115,1.481264,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,17.100000,83.100000,78.500000
25,28.140000,2.010827,1.348962,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,19.900000,87.600000,83.500000
26,28.700000,2.007892,1.475974,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,18.700000,75.700000,72.400000
27,29.420000,1.988301,1.350997,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,17.200000,79.600000,73.800000
28,30.410000,1.992069,1.510438,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,18.100000,81.700000,76.300000
29,28.930000,2.007487,1.414197,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,15.400000,80.600000,74.500000
30,23.160000,2.054747,1.246320,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,18.600000,82.600000,80.200000
31,31.150000,2.013212,1.464732,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,19.500000,80.300000,73.800000
32,31.900000,1.995334,1.644308,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,16.600000,77.000000,70.600000
33,26.140000,2.069129,1.671807,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,18.900000,76.800000,72.800000
34,33.540000,1.966565,1.261625,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,20.500000,87.400000,86.100000
35,29.130000,2.016443,1.530852,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,18.800000,80.200000,75.900000
36,21.580000,2.055548,1.286808,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,23.500000,81.700000,73.100000
37,29.790000,1.969665,1.415020,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,22.000000,77.000000,71.600000
38,30.900000,1.999578,1.848452,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,17.200000,69.300000,59.300000
39,29.880000,2.008788,1.472278,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,16.500000,80.000000,74.200000
40,24.780000,2.033964,1.378240,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,24.900000,79.200000,71.600000
41,32.190000,1.971613,1.433896,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,23.300000,80.700000,73.900000
42,31.860000,1.981955,1.461050,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,14.500000,87.300000,80.000000
43,29.210000,1.981180,1.377589,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,22.200000,77.600000,71.800000
44,31.510000,1.997181,1.518477,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,14.800000,79.500000,70.300000
45,29.350000,2.018796,1.369594,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,15.100000,79.800000,71.000000
46,26.320000,2.010669,1.456013,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,16.800000,79.600000,70.100000
47,31.980000,1.971808,1.259216,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,23.000000,81.100000,75.900000
48,30.030000,2.010262,1.489483,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,21.100000,79.700000,74.700000
49,27.440000,2.061708,1.730992,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,24.400000,71.100000,63.100000
50,25.830000,2.092526,1.437659,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,27.000000,79.100000,73.600000
51,24.800000,2.093575,1.628901,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,17.400000,72.500000,58.600000
52,28.340000,2.060137,1.353476,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,39.500000,81.700000,78.800000
53,28.690000,2.008618,1.423946,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,29.500000,82.900000,72.400000
54,28.000000,2.038386,1.638708,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,20.900000,84.400000,74.400000
55,28.050000,2.016172,1.137222,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,23.400000,86.700000,79.300000
56,29.630000,1.986354,1.397865,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,22.800000,85.000000,72.700000
57,26.180000,2.025619,1.347536,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,13.300000,85.500000,78.000000
58,30.380000,1.981954,1.438758,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,28.100000,78.200000,69.900000
59,31.130000,1.966230,1.206549,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,29.100000,85.900000,80.600000
