epoch,phase,selected_client_count,selected_net2_current_holdout_acc_avg,selected_net2_best_holdout_acc_avg,selected_net2_best_epoch_avg
0,net2_search,10,79.000000,79.000000,0.000000
1,net2_search,10,78.600000,78.600000,1.000000
2,net2_search,10,72.600000,74.400000,1.900000
3,net2_search,10,81.500000,81.600000,2.900000
4,net2_search,10,76.400000,76.500000,3.700000
5,net2_search,10,67.000000,70.000000,3.700000
6,net2_search,10,81.700000,83.200000,3.800000
7,net2_search,10,84.800000,85.300000,6.100000
8,net2_search,10,77.900000,80.800000,7.200000
9,net2_search,10,76.500000,76.900000,6.700000
10,net2_search,10,76.800000,78.700000,8.900000
11,net2_search,10,67.400000,72.900000,8.000000
12,net2_search,10,74.100000,77.500000,9.900000
13,net2_search,10,77.000000,78.400000,10.400000
14,net2_search,10,84.000000,86.200000,11.000000
15,net2_search,10,72.800000,74.800000,11.500000
16,net2_search,10,83.200000,85.600000,9.200000
17,net2_search,10,68.300000,73.700000,12.200000
18,net2_search,10,75.200000,79.800000,15.400000
19,net2_search,10,72.900000,78.700000,12.600000
20,net2_search,10,74.100000,79.200000,15.600000
21,net2_search,10,83.800000,85.700000,15.000000
22,net2_search,10,75.000000,80.000000,15.400000
23,net2_search,10,78.100000,83.000000,8.600000
24,net2_search,10,78.500000,83.100000,17.100000
25,net2_search,10,83.500000,87.600000,19.900000
26,net2_search,10,72.400000,75.700000,18.700000
27,net2_search,10,73.800000,79.600000,17.200000
28,net2_search,10,76.300000,81.700000,18.100000
29,net2_search,10,74.500000,80.600000,15.400000
30,net2_search,10,80.200000,82.600000,18.600000
31,net2_search,10,73.800000,80.300000,19.500000
32,net2_search,10,70.600000,77.000000,16.600000
33,net2_search,10,72.800000,76.800000,18.900000
34,net2_search,10,86.100000,87.400000,20.500000
35,net2_search,10,75.900000,80.200000,18.800000
36,net2_search,10,73.100000,81.700000,23.500000
37,net2_search,10,71.600000,77.000000,22.000000
38,net2_search,10,59.300000,69.300000,17.200000
39,net2_search,10,74.200000,80.000000,16.500000
40,net2_search,10,71.600000,79.200000,24.900000
41,net2_search,10,73.900000,80.700000,23.300000
42,net2_search,10,80.000000,87.300000,14.500000
43,net2_search,10,71.800000,77.600000,22.200000
44,net2_search,10,70.300000,79.500000,14.800000
45,net2_search,10,71.000000,79.800000,15.100000
46,net2_search,10,70.100000,79.600000,16.800000
47,net2_search,10,75.900000,81.100000,23.000000
48,net2_search,10,74.700000,79.700000,21.100000
49,net2_search,10,63.100000,71.100000,24.400000
50,net2_search,10,73.600000,79.100000,27.000000
51,net2_search,10,58.600000,72.500000,17.400000
52,net2_search,10,78.800000,81.700000,39.500000
53,net2_search,10,72.400000,82.900000,29.500000
