epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,net2_holdout_acc,net2_holdout_loss
0,19.150000,2.269931,1.588454,1.000000,-1,-1
1,21.450000,2.160755,1.619299,1.000000,-1,-1
2,17.680000,2.203298,1.434766,1.000000,-1,-1
3,25.770000,2.118398,1.572967,1.000000,-1,-1
4,27.310000,2.122470,1.646175,1.000000,-1,-1
5,27.580000,2.136883,1.907932,1.000000,-1,-1
6,26.800000,2.097312,1.600663,1.000000,-1,-1
7,24.240000,2.135445,1.412939,1.000000,-1,-1
8,29.130000,2.063031,1.127569,1.000000,-1,-1
9,23.120000,2.100148,1.544508,1.000000,-1,-1
10,20.430000,2.140887,1.585076,1.000000,-1,-1
11,25.230000,2.085686,1.555286,1.000000,-1,-1
12,23.660000,2.130763,1.693999,1.000000,-1,-1
13,24.020000,2.095039,1.485035,1.000000,-1,-1
14,24.970000,2.071405,1.315745,1.000000,-1,-1
15,18.920000,2.082445,1.480525,1.000000,-1,-1
16,32.490000,2.024807,1.289428,1.000000,-1,-1
17,30.750000,2.013831,1.641555,1.000000,-1,-1
18,25.530000,2.045467,1.658874,1.000000,-1,-1
19,30.100000,2.041733,1.671764,1.000000,-1,-1
20,31.510000,2.012835,1.385237,1.000000,-1,-1
21,34.500000,1.970762,1.503128,1.000000,-1,-1
22,26.980000,2.036964,1.484993,1.000000,-1,-1
23,27.940000,2.057660,1.500320,1.000000,-1,-1
24,26.090000,2.051456,1.501970,1.000000,-1,-1
25,29.270000,2.012433,1.351088,1.000000,-1,-1
26,27.430000,2.022807,1.484334,1.000000,-1,-1
27,31.260000,1.981712,1.356676,1.000000,-1,-1
28,31.640000,2.001249,1.518653,1.000000,-1,-1
29,31.760000,2.013261,1.410103,1.000000,-1,-1
30,24.280000,2.023779,1.256279,1.000000,-1,-1
31,29.960000,1.990619,1.470440,1.000000,-1,-1
32,33.200000,1.980596,1.650530,1.000000,-1,-1
33,33.070000,1.986146,1.677044,1.000000,-1,-1
34,33.970000,1.957396,1.275067,1.000000,-1,-1
35,33.220000,1.978086,1.569438,1.000000,-1,-1
36,18.580000,2.067843,1.287543,1.000000,-1,-1
37,27.280000,1.988831,1.424790,1.000000,-1,-1
38,31.130000,2.014561,1.863867,1.000000,-1,-1
39,30.890000,2.001692,1.505867,1.000000,-1,-1
40,28.840000,1.993267,1.376743,1.000000,-1,-1
41,27.470000,2.008844,1.449043,1.000000,-1,-1
42,32.980000,1.984876,1.475536,1.000000,-1,-1
43,30.720000,1.965669,1.386177,1.000000,-1,-1
44,32.020000,1.959831,1.532468,1.000000,-1,-1
45,29.860000,1.970153,1.385273,1.000000,-1,-1
46,25.840000,2.029304,1.472828,1.000000,-1,-1
47,29.970000,1.995464,1.279160,1.000000,-1,-1
48,28.880000,1.994933,1.505329,1.000000,-1,-1
49,29.990000,2.025388,1.752609,1.000000,-1,-1
50,27.490000,2.016760,1.470678,1.000000,-1,-1
51,30.820000,2.034783,1.641751,1.000000,-1,-1
