epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,net2_holdout_acc,net2_holdout_loss
0,19.880000,2.263410,1.591716,1.000000,-1,-1
1,21.710000,2.157540,1.619248,1.000000,-1,-1
2,18.590000,2.195787,1.438374,1.000000,-1,-1
3,26.740000,2.115784,1.569616,1.000000,-1,-1
4,27.030000,2.131272,1.648357,1.000000,-1,-1
5,27.540000,2.129590,1.905456,1.000000,-1,-1
6,27.670000,2.086496,1.595285,1.000000,-1,-1
7,23.800000,2.131133,1.409672,1.000000,-1,-1
8,28.490000,2.060082,1.128021,1.000000,-1,-1
9,20.690000,2.123854,1.541556,1.000000,-1,-1
10,20.280000,2.158851,1.587450,1.000000,-1,-1
11,26.030000,2.072975,1.560535,1.000000,-1,-1
12,25.510000,2.104893,1.688868,1.000000,-1,-1
13,25.710000,2.072069,1.485238,1.000000,-1,-1
14,24.390000,2.065502,1.309096,1.000000,-1,-1
15,21.150000,2.069537,1.474372,1.000000,-1,-1
16,32.720000,2.008117,1.282846,1.000000,-1,-1
17,31.350000,2.009076,1.642831,1.000000,-1,-1
18,24.230000,2.055964,1.659737,1.000000,-1,-1
19,30.350000,2.048481,1.669394,1.000000,-1,-1
20,30.960000,2.016577,1.385009,1.000000,-1,-1
21,34.710000,1.980531,1.504325,1.000000,-1,-1
22,27.480000,2.033135,1.483268,1.000000,-1,-1
23,28.020000,2.048797,1.499422,1.000000,-1,-1
24,27.660000,2.037732,1.497491,1.000000,-1,-1
25,30.530000,1.988224,1.347286,1.000000,-1,-1
26,28.900000,2.002924,1.485039,1.000000,-1,-1
27,31.720000,1.967234,1.358929,1.000000,-1,-1
28,33.460000,1.967017,1.514822,1.000000,-1,-1
29,32.280000,2.004408,1.406181,1.000000,-1,-1
30,24.110000,2.043120,1.252427,1.000000,-1,-1
31,28.160000,2.010710,1.468249,1.000000,-1,-1
32,30.900000,2.001278,1.650049,1.000000,-1,-1
33,31.130000,2.014744,1.677616,1.000000,-1,-1
34,33.210000,1.962465,1.271514,1.000000,-1,-1
35,32.830000,1.980466,1.565072,1.000000,-1,-1
36,19.260000,2.064610,1.284457,1.000000,-1,-1
37,27.090000,2.004155,1.424498,1.000000,-1,-1
38,32.920000,2.007662,1.860249,1.000000,-1,-1
39,30.270000,2.018665,1.498268,1.000000,-1,-1
40,25.550000,2.010871,1.377203,1.000000,-1,-1
