epoch,train_loss,global_train_acc,global_train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio,selected_total_count,global_train_count,train_ratio,pred_clean_count,pred_noisy_count,true_clean_count,true_noise_count,actual_train_clean_count,actual_train_clean_ratio,clean_recall,missed_clean_count,false_clean_count,true_noise_rejected_count,total_wrong_count,missed_clean_ratio,false_clean_ratio
0,1.128730,17.570000,2.352003,20.270000,2.292590,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4108,892,4108,0.821600,1.000000,0,892,0,892,0.000000,1.000000
1,1.173501,17.248000,2.258424,20.830000,2.177138,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3990,1010,3990,0.798000,1.000000,0,1010,0,1010,0.000000,1.000000
2,1.077644,15.510000,2.272605,16.870000,2.190951,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4056,944,4056,0.811200,1.000000,0,944,0,944,0.000000,1.000000
3,1.088866,22.290000,2.166309,25.590000,2.071700,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4048,952,4048,0.809600,1.000000,0,952,0,952,0.000000,1.000000
4,1.192700,22.674000,2.191606,26.280000,2.100884,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3962,1038,3962,0.792400,1.000000,0,1038,0,1038,0.000000,1.000000
5,1.364902,21.892000,2.198923,26.720000,2.099358,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3636,1364,3636,0.727200,1.000000,0,1364,0,1364,0.000000,1.000000
6,1.105172,22.706000,2.145511,27.260000,2.020666,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4006,994,4006,0.801200,1.000000,0,994,0,994,0.000000,1.000000
7,0.991213,24.164000,2.192715,27.890000,2.063468,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4082,918,4082,0.816400,1.000000,0,918,0,918,0.000000,1.000000
8,0.835466,25.790000,2.116191,30.840000,1.966361,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4386,614,4386,0.877200,1.000000,0,614,0,614,0.000000,1.000000
9,1.107456,24.210000,2.089141,28.580000,1.964269,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3876,1124,3876,0.775200,1.000000,0,1124,0,1124,0.000000,1.000000
10,1.128810,18.390000,2.244817,22.040000,2.094082,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3944,1056,3944,0.788800,1.000000,0,1056,0,1056,0.000000,1.000000
11,1.117613,22.162000,2.130260,27.420000,1.980166,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3970,1030,3970,0.794000,1.000000,0,1030,0,1030,0.000000,1.000000
12,1.201020,25.158000,2.078002,28.860000,1.944204,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3868,1132,3868,0.773600,1.000000,0,1132,0,1132,0.000000,1.000000
13,1.041153,24.450000,2.081269,30.010000,1.946841,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4074,926,4074,0.814800,1.000000,0,926,0,926,0.000000,1.000000
14,0.911170,24.186000,2.116624,27.180000,1.996455,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4246,754,4246,0.849200,1.000000,0,754,0,754,0.000000,1.000000
15,1.047376,17.336000,2.160692,23.230000,1.975074,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4080,920,4080,0.816000,1.000000,0,920,0,920,0.000000,1.000000
16,0.895182,26.964000,2.075168,33.980000,1.926166,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4254,746,4254,0.850800,1.000000,0,746,0,746,0.000000,1.000000
17,1.154358,30.042000,2.025691,37.530000,1.875334,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3890,1110,3890,0.778000,1.000000,0,1110,0,1110,0.000000,1.000000
18,1.165087,24.032000,2.119457,29.360000,1.973236,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3816,1184,3816,0.763200,1.000000,0,1184,0,1184,0.000000,1.000000
19,1.163199,30.102000,2.035986,35.760000,1.900256,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3858,1142,3858,0.771600,1.000000,0,1142,0,1142,0.000000,1.000000
20,0.979260,29.030000,2.031007,35.560000,1.879170,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4136,864,4136,0.827200,1.000000,0,864,0,864,0.000000,1.000000
21,1.031135,30.770000,2.000638,38.780000,1.843154,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4086,914,4086,0.817200,1.000000,0,914,0,914,0.000000,1.000000
22,1.027582,27.386000,2.079456,32.120000,1.929742,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4014,986,4014,0.802800,1.000000,0,986,0,986,0.000000,1.000000
23,1.044016,25.590000,2.068563,31.060000,1.939239,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4002,998,4002,0.800400,1.000000,0,998,0,998,0.000000,1.000000
24,1.030281,24.558000,2.063851,30.780000,1.911166,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4014,986,4014,0.802800,1.000000,0,986,0,986,0.000000,1.000000
25,0.918117,28.054000,2.024034,36.370000,1.850498,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4182,818,4182,0.836400,1.000000,0,818,0,818,0.000000,1.000000
26,1.063550,26.610000,2.060193,33.050000,1.908088,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4104,896,4104,0.820800,1.000000,0,896,0,896,0.000000,1.000000
27,0.955876,27.374000,2.031820,33.140000,1.884346,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4162,838,4162,0.832400,1.000000,0,838,0,838,0.000000,1.000000
28,1.050932,30.252000,2.019658,37.810000,1.854429,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3984,1016,3984,0.796800,1.000000,0,1016,0,1016,0.000000,1.000000
29,0.968312,28.660000,2.022753,35.180000,1.866778,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4132,868,4132,0.826400,1.000000,0,868,0,868,0.000000,1.000000
30,0.888980,26.204000,2.053444,30.440000,1.911065,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4252,748,4252,0.850400,1.000000,0,748,0,748,0.000000,1.000000
31,1.019259,29.790000,2.016451,33.920000,1.879915,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4074,926,4074,0.814800,1.000000,0,926,0,926,0.000000,1.000000
32,1.163659,29.366000,2.010691,35.650000,1.864773,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3894,1106,3894,0.778800,1.000000,0,1106,0,1106,0.000000,1.000000
33,1.183405,28.176000,2.034007,33.790000,1.907341,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3898,1102,3898,0.779600,1.000000,0,1102,0,1102,0.000000,1.000000
34,0.849694,30.738000,2.004936,37.890000,1.851640,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4248,752,4248,0.849600,1.000000,0,752,0,752,0.000000,1.000000
35,1.082491,28.214000,2.040656,33.350000,1.891505,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3954,1046,3954,0.790800,1.000000,0,1046,0,1046,0.000000,1.000000
36,0.900720,21.078000,2.148035,25.230000,1.990521,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4214,786,4214,0.842800,1.000000,0,786,0,786,0.000000,1.000000
37,0.991491,28.378000,2.017834,35.920000,1.835399,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4098,902,4098,0.819600,1.000000,0,902,0,902,0.000000,1.000000
38,1.304860,30.918000,2.022152,38.250000,1.875162,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3574,1426,3574,0.714800,1.000000,0,1426,0,1426,0.000000,1.000000
39,1.045235,26.502000,2.063915,31.180000,1.949897,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4086,914,4086,0.817200,1.000000,0,914,0,914,0.000000,1.000000
40,0.981374,29.358000,1.993965,37.910000,1.824130,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4098,902,4098,0.819600,1.000000,0,902,0,902,0.000000,1.000000
41,1.013351,26.184000,2.049845,29.630000,1.900080,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4018,982,4018,0.803600,1.000000,0,982,0,982,0.000000,1.000000
42,0.993942,33.146000,1.978613,39.610000,1.844926,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4056,944,4056,0.811200,1.000000,0,944,0,944,0.000000,1.000000
43,0.972725,27.504000,2.047090,34.110000,1.884989,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4076,924,4076,0.815200,1.000000,0,924,0,924,0.000000,1.000000
44,1.068755,30.990000,1.985292,37.430000,1.837559,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3988,1012,3988,0.797600,1.000000,0,1012,0,1012,0.000000,1.000000
45,0.968594,28.646000,1.993772,34.860000,1.833866,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4102,898,4102,0.820400,1.000000,0,898,0,898,0.000000,1.000000
46,1.001509,27.494000,2.045808,32.480000,1.895233,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3936,1064,3936,0.787200,1.000000,0,1064,0,1064,0.000000,1.000000
47,0.889820,29.826000,2.006518,34.150000,1.865420,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4198,802,4198,0.839600,1.000000,0,802,0,802,0.000000,1.000000
48,1.053811,30.046000,1.991053,35.110000,1.849286,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3878,1122,3878,0.775600,1.000000,0,1122,0,1122,0.000000,1.000000
49,1.242983,27.944000,2.026305,34.300000,1.882474,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3726,1274,3726,0.745200,1.000000,0,1274,0,1274,0.000000,1.000000
50,1.026148,26.362000,2.051287,32.170000,1.909471,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3956,1044,3956,0.791200,1.000000,0,1044,0,1044,0.000000,1.000000
51,1.180183,31.890000,1.999922,36.570000,1.895454,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3806,1194,3806,0.761200,1.000000,0,1194,0,1194,0.000000,1.000000
52,0.946248,30.100000,2.012486,35.070000,1.895825,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4068,932,4068,0.813600,1.000000,0,932,0,932,0.000000,1.000000
53,0.990701,30.336000,2.012439,35.510000,1.870311,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3976,1024,3976,0.795200,1.000000,0,1024,0,1024,0.000000,1.000000
54,1.105594,26.986000,2.034694,31.640000,1.898362,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3778,1222,3778,0.755600,1.000000,0,1222,0,1222,0.000000,1.000000
55,0.781781,26.522000,2.020169,32.780000,1.851388,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4268,732,4268,0.853600,1.000000,0,732,0,732,0.000000,1.000000
56,0.967830,30.602000,1.976052,32.480000,1.848545,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4060,940,4060,0.812000,1.000000,0,940,0,940,0.000000,1.000000
57,0.905286,31.616000,1.982462,37.690000,1.844241,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4138,862,4138,0.827600,1.000000,0,862,0,862,0.000000,1.000000
58,1.012445,33.458000,1.946461,39.180000,1.800229,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4024,976,4024,0.804800,1.000000,0,976,0,976,0.000000,1.000000
59,0.819338,28.772000,2.006620,33.030000,1.856525,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4310,690,4310,0.862000,1.000000,0,690,0,690,0.000000,1.000000
60,1.058375,33.160000,1.966225,37.980000,1.839842,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3960,1040,3960,0.792000,1.000000,0,1040,0,1040,0.000000,1.000000
61,0.852904,29.980000,1.984415,35.360000,1.824469,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4200,800,4200,0.840000,1.000000,0,800,0,800,0.000000,1.000000
62,1.023937,34.764000,1.936260,39.250000,1.814000,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3942,1058,3942,0.788400,1.000000,0,1058,0,1058,0.000000,1.000000
63,0.990994,31.878000,1.956863,36.840000,1.818087,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4070,930,4070,0.814000,1.000000,0,930,0,930,0.000000,1.000000
64,0.825439,32.304000,1.947175,35.480000,1.806690,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4232,768,4232,0.846400,1.000000,0,768,0,768,0.000000,1.000000
65,1.126864,31.590000,1.979839,36.830000,1.837346,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3846,1154,3846,0.769200,1.000000,0,1154,0,1154,0.000000,1.000000
66,1.111864,32.640000,1.942743,39.120000,1.796333,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3824,1176,3824,0.764800,1.000000,0,1176,0,1176,0.000000,1.000000
67,0.970302,34.880000,1.917892,39.740000,1.791455,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4002,998,4002,0.800400,1.000000,0,998,0,998,0.000000,1.000000
