epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio
0,1.132114,20.670000,2.282376,0.000000,0.000000,1.000000,0.000000
1,1.171792,21.170000,2.170678,0.000000,0.000000,1.000000,0.000000
2,1.079869,18.750000,2.170319,0.000000,0.000000,1.000000,0.000000
3,1.090380,23.660000,2.085392,0.000000,0.000000,1.000000,0.000000
4,1.192836,27.880000,2.086745,0.000000,0.000000,1.000000,0.000000
5,1.368536,27.460000,2.086511,0.000000,0.000000,1.000000,0.000000
6,1.109304,27.740000,2.023329,0.000000,0.000000,1.000000,0.000000
7,0.991332,27.300000,2.055070,0.000000,0.000000,1.000000,0.000000
8,0.831131,30.220000,1.986218,0.000000,0.000000,1.000000,0.000000
9,1.114196,27.730000,1.980868,0.000000,0.000000,1.000000,0.000000
10,1.127251,22.240000,2.091794,0.000000,0.000000,1.000000,0.000000
11,1.121381,29.990000,1.961572,0.000000,0.000000,1.000000,0.000000
12,1.196625,29.080000,1.940664,0.000000,0.000000,1.000000,0.000000
13,1.039060,30.690000,1.931233,0.000000,0.000000,1.000000,0.000000
14,0.912623,26.430000,1.991042,0.000000,0.000000,1.000000,0.000000
15,1.050806,22.220000,1.980383,0.000000,0.000000,1.000000,0.000000
16,0.889136,35.510000,1.891240,0.000000,0.000000,1.000000,0.000000
17,1.149353,35.160000,1.887145,0.000000,0.000000,1.000000,0.000000
