epoch,train_loss,global_train_acc,global_train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio,selected_total_count,global_train_count,train_ratio,pred_clean_count,pred_noisy_count,true_clean_count,true_noise_count,actual_train_clean_count,actual_train_clean_ratio,clean_recall,missed_clean_count,false_clean_count,true_noise_rejected_count,total_wrong_count,missed_clean_ratio,false_clean_ratio
0,1.132114,17.624000,2.342561,20.670000,2.282376,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4108,892,4108,0.821600,1.000000,0,892,0,892,0.000000,1.000000
1,1.171792,18.000000,2.256808,21.170000,2.170678,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3990,1010,3990,0.798000,1.000000,0,1010,0,1010,0.000000,1.000000
2,1.079869,16.604000,2.253907,18.750000,2.170319,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4056,944,4056,0.811200,1.000000,0,944,0,944,0.000000,1.000000
3,1.090380,20.950000,2.174363,23.660000,2.085392,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4048,952,4048,0.809600,1.000000,0,952,0,952,0.000000,1.000000
4,1.192836,23.326000,2.187364,27.880000,2.086745,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3962,1038,3962,0.792400,1.000000,0,1038,0,1038,0.000000,1.000000
5,1.368536,22.258000,2.194815,27.460000,2.086511,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3636,1364,3636,0.727200,1.000000,0,1364,0,1364,0.000000,1.000000
6,1.109304,22.526000,2.156327,27.740000,2.023329,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4006,994,4006,0.801200,1.000000,0,994,0,994,0.000000,1.000000
7,0.991332,23.704000,2.189366,27.300000,2.055070,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4082,918,4082,0.816400,1.000000,0,918,0,918,0.000000,1.000000
8,0.831131,25.820000,2.125732,30.220000,1.986218,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4386,614,4386,0.877200,1.000000,0,614,0,614,0.000000,1.000000
9,1.114196,23.974000,2.099578,27.730000,1.980868,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3876,1124,3876,0.775200,1.000000,0,1124,0,1124,0.000000,1.000000
10,1.127251,18.464000,2.238010,22.240000,2.091794,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3944,1056,3944,0.788800,1.000000,0,1056,0,1056,0.000000,1.000000
11,1.121381,23.780000,2.115767,29.990000,1.961572,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3970,1030,3970,0.794000,1.000000,0,1030,0,1030,0.000000,1.000000
12,1.196625,25.658000,2.075587,29.080000,1.940664,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3868,1132,3868,0.773600,1.000000,0,1132,0,1132,0.000000,1.000000
13,1.039060,25.164000,2.064941,30.690000,1.931233,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4074,926,4074,0.814800,1.000000,0,926,0,926,0.000000,1.000000
14,0.912623,23.780000,2.118109,26.430000,1.991042,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4246,754,4246,0.849200,1.000000,0,754,0,754,0.000000,1.000000
15,1.050806,17.184000,2.156627,22.220000,1.980383,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4080,920,4080,0.816000,1.000000,0,920,0,920,0.000000,1.000000
