epoch,train_loss,global_test_acc,global_test_loss,correction_apa,correction_loss,core_ratio,recover_clean_ratio,corrected_ratio,net1_train_ratio,correction_trigger,core_count,recover_clean_count,corrected_count,net1_return_count,net1_train_count,net2_train_count,total_count,actual_net1_label_correct_count,actual_round_clean_count,selected_original_clean_count,missed_clean_count,false_train_label_count,correction_correct_count,correction_false_count,persistent_update_count,correction_acc,agg_weight_sum,actual_net1_label_correct_ratio,orig_clean_recall
0,1.605200,19.890000,2.238946,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15368,15368,15368,0,9632,0,0,0,0.000000,25000.000000,0.614720,1.000000
1,1.670094,23.100000,2.184046,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14536,14536,14536,0,10464,0,0,0,0.000000,25000.000000,0.581440,1.000000
2,1.659562,23.640000,2.152608,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14336,14336,14336,0,10664,0,0,0,0.000000,25000.000000,0.573440,1.000000
3,1.657089,24.410000,2.135985,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14136,14136,14136,0,10864,0,0,0,0.000000,25000.000000,0.565440,1.000000
4,1.516882,25.200000,2.111158,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15684,15684,15684,0,9316,0,0,0,0.000000,25000.000000,0.627360,1.000000
5,1.528974,26.760000,2.101215,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15264,15264,15264,0,9736,0,0,0,0.000000,25000.000000,0.610560,1.000000
6,1.561377,29.150000,2.084400,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15084,15084,15084,0,9916,0,0,0,0.000000,25000.000000,0.603360,1.000000
7,1.593581,26.970000,2.087357,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14776,14776,14776,0,10224,0,0,0,0.000000,25000.000000,0.591040,1.000000
8,1.456336,28.990000,2.080552,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,16124,16124,16124,0,8876,0,0,0,0.000000,25000.000000,0.644960,1.000000
9,1.583441,30.950000,2.054459,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14788,14788,14788,0,10212,0,0,0,0.000000,25000.000000,0.591520,1.000000
10,1.540082,31.290000,2.051893,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15144,15144,15144,0,9856,0,0,0,0.000000,25000.000000,0.605760,1.000000
11,1.508608,32.200000,2.042176,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15068,15068,15068,0,9932,0,0,0,0.000000,25000.000000,0.602720,1.000000
12,1.454349,32.770000,2.029428,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15948,15948,15948,0,9052,0,0,0,0.000000,25000.000000,0.637920,1.000000
13,1.411457,31.420000,2.038102,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15984,15984,15984,0,9016,0,0,0,0.000000,25000.000000,0.639360,1.000000
14,1.562627,31.770000,2.039774,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14752,14752,14752,0,10248,0,0,0,0.000000,25000.000000,0.590080,1.000000
15,1.542464,29.780000,2.053383,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14976,14976,14976,0,10024,0,0,0,0.000000,25000.000000,0.599040,1.000000
16,1.594730,30.770000,2.046950,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14508,14508,14508,0,10492,0,0,0,0.000000,25000.000000,0.580320,1.000000
