epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,actual_train_clean_ratio,clean_recall
0,1.131415,19.670000,2.295932,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4108,4108,0,0.821600,1.000000
1,1.180318,19.180000,2.195565,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3990,3990,0,0.798000,1.000000
2,1.070256,17.330000,2.216765,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4056,4056,0,0.811200,1.000000
3,1.092484,27.450000,2.089737,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4048,4048,0,0.809600,1.000000
4,1.188790,28.320000,2.097332,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3962,3962,0,0.792400,1.000000
5,1.367532,25.610000,2.082659,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3636,3636,0,0.727200,1.000000
6,1.119326,26.910000,2.051766,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4006,4006,0,0.801200,1.000000
7,0.981545,24.910000,2.096269,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4082,4082,0,0.816400,1.000000
8,0.824173,31.080000,1.979152,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4386,4386,0,0.877200,1.000000
9,1.099780,26.450000,2.000195,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3876,3876,0,0.775200,1.000000
10,1.111965,21.170000,2.141579,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3944,3944,0,0.788800,1.000000
11,1.105905,27.530000,1.970617,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3970,3970,0,0.794000,1.000000
12,1.209735,29.280000,1.945286,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3868,3868,0,0.773600,1.000000
13,1.034833,28.320000,1.954430,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4074,4074,0,0.814800,1.000000
14,0.914096,26.950000,1.982187,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4246,4246,0,0.849200,1.000000
15,1.056109,22.290000,1.993412,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4080,4080,0,0.816000,1.000000
16,0.896718,34.920000,1.903675,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4254,4254,0,0.850800,1.000000
17,1.158523,36.440000,1.884597,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3890,3890,0,0.778000,1.000000
18,1.160897,29.570000,1.932863,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3816,3816,0,0.763200,1.000000
19,1.167934,35.100000,1.893023,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3858,3858,0,0.771600,1.000000
20,0.980135,34.070000,1.888680,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4136,4136,0,0.827200,1.000000
21,1.037781,37.390000,1.869045,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4086,4086,0,0.817200,1.000000
22,1.022867,33.000000,1.949231,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4014,4014,0,0.802800,1.000000
23,1.039430,31.910000,1.911055,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4002,4002,0,0.800400,1.000000
24,1.029192,29.320000,1.904278,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4014,4014,0,0.802800,1.000000
25,0.922332,35.590000,1.861260,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4182,4182,0,0.836400,1.000000
26,1.054210,32.880000,1.878122,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4104,4104,0,0.820800,1.000000
27,0.966443,35.820000,1.837131,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4162,4162,0,0.832400,1.000000
28,1.048371,35.000000,1.873803,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3984,3984,0,0.796800,1.000000
29,0.975295,36.160000,1.846433,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,4132,4132,0,0.826400,1.000000
