epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
0,1.593179,19.340000,2.238696,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3216,3216,0,1784,1784,0.643200,1.000000
1,1.615402,20.420000,2.209153,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2980,2980,0,2020,2020,0.596000,1.000000
2,1.429481,16.490000,2.270735,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3112,3112,0,1888,1888,0.622400,1.000000
3,1.573486,23.190000,2.159697,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3096,3096,0,1904,1904,0.619200,1.000000
4,1.658547,26.730000,2.177514,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2924,2924,0,2076,2076,0.584800,1.000000
5,1.902061,24.080000,2.173130,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2272,2272,0,2728,2728,0.454400,1.000000
6,1.593893,25.310000,2.118191,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3012,3012,0,1988,1988,0.602400,1.000000
7,1.412145,22.350000,2.167115,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3164,3164,0,1836,1836,0.632800,1.000000
8,1.140468,25.450000,2.099051,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3772,3772,0,1228,1228,0.754400,1.000000
9,1.540935,17.160000,2.128500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2752,2752,0,2248,2248,0.550400,1.000000
10,1.586031,20.070000,2.202537,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2888,2888,0,2112,2112,0.577600,1.000000
11,1.548524,24.190000,2.112515,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2940,2940,0,2060,2060,0.588000,1.000000
12,1.696785,26.690000,2.090212,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2736,2736,0,2264,2264,0.547200,1.000000
13,1.479072,23.750000,2.111179,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3148,3148,0,1852,1852,0.629600,1.000000
14,1.310936,24.900000,2.081095,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3492,3492,0,1508,1508,0.698400,1.000000
15,1.478244,23.100000,2.092894,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3160,3160,0,1840,1840,0.632000,1.000000
16,1.288280,28.250000,2.042604,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3508,3508,0,1492,1492,0.701600,1.000000
17,1.641144,30.010000,2.019636,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2780,2780,0,2220,2220,0.556000,1.000000
18,1.667572,27.780000,2.041171,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2632,2632,0,2368,2368,0.526400,1.000000
19,1.672938,29.180000,2.053354,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2716,2716,0,2284,2284,0.543200,1.000000
20,1.383707,27.780000,2.052107,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3272,3272,0,1728,1728,0.654400,1.000000
21,1.502100,30.690000,2.047518,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3172,3172,0,1828,1828,0.634400,1.000000
22,1.487840,26.080000,2.062722,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3028,3028,0,1972,1972,0.605600,1.000000
23,1.499745,25.910000,2.079777,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3004,3004,0,1996,1996,0.600800,1.000000
24,1.500205,26.010000,2.048809,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3028,3028,0,1972,1972,0.605600,1.000000
25,1.356066,25.170000,2.071943,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3364,3364,0,1636,1636,0.672800,1.000000
26,1.479987,27.270000,2.047686,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3208,3208,0,1792,1792,0.641600,1.000000
27,1.362244,30.610000,2.027426,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3324,3324,0,1676,1676,0.664800,1.000000
28,1.521839,30.750000,1.999726,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2968,2968,0,2032,2032,0.593600,1.000000
29,1.408995,30.310000,2.017229,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3264,3264,0,1736,1736,0.652800,1.000000
30,1.259204,20.680000,2.058272,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3504,3504,0,1496,1496,0.700800,1.000000
31,1.461077,29.890000,2.024654,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3148,3148,0,1852,1852,0.629600,1.000000
32,1.659883,31.540000,2.000782,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2788,2788,0,2212,2212,0.557600,1.000000
33,1.677846,25.500000,2.094989,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2796,2796,0,2204,2204,0.559200,1.000000
34,1.267847,30.980000,2.035802,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3496,3496,0,1504,1504,0.699200,1.000000
35,1.558096,29.270000,2.027184,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2908,2908,0,2092,2092,0.581600,1.000000
36,1.288989,21.870000,2.110521,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3428,3428,0,1572,1572,0.685600,1.000000
37,1.425762,30.350000,1.999290,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3196,3196,0,1804,1804,0.639200,1.000000
38,1.853801,28.370000,2.055209,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2148,2148,0,2852,2852,0.429600,1.000000
39,1.492764,27.370000,2.077356,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3172,3172,0,1828,1828,0.634400,1.000000
