epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
0,1.643069,18.240000,2.237046,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15368,15368,0,9632,9632,0.614720,1.000000
1,1.688993,23.930000,2.160990,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14536,14536,0,10464,10464,0.581440,1.000000
2,1.681233,25.670000,2.134287,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14336,14336,0,10664,10664,0.573440,1.000000
3,1.665698,26.660000,2.116951,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14136,14136,0,10864,10864,0.565440,1.000000
4,1.523692,30.310000,2.084815,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15684,15684,0,9316,9316,0.627360,1.000000
5,1.535406,31.170000,2.067840,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15264,15264,0,9736,9736,0.610560,1.000000
6,1.564773,31.280000,2.058966,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15084,15084,0,9916,9916,0.603360,1.000000
7,1.595422,29.830000,2.064730,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14776,14776,0,10224,10224,0.591040,1.000000
8,1.461751,32.300000,2.042046,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,16124,16124,0,8876,8876,0.644960,1.000000
9,1.587634,36.340000,2.022328,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14788,14788,0,10212,10212,0.591520,1.000000
10,1.544479,34.800000,2.026901,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15144,15144,0,9856,9856,0.605760,1.000000
11,1.513616,35.620000,2.006431,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15068,15068,0,9932,9932,0.602720,1.000000
12,1.455894,35.240000,2.000273,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15948,15948,0,9052,9052,0.637920,1.000000
