epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
100,98,scoreA,17,17,18,15,41,47,17,9,11,20
100,98,fedrn,9,24,4,15,60,61,15,12,3,13
100,98,final,9,24,4,15,60,61,15,12,3,13
100,68,scoreA,10,12,14,14,15,7,99,9,15,86
100,68,fedrn,0,0,0,2,1,0,98,0,0,81
100,68,final,0,0,0,2,1,0,98,0,0,81
100,67,scoreA,3,87,4,14,13,8,7,9,93,14
100,67,fedrn,0,92,0,0,0,0,0,0,101,0
100,67,final,0,92,0,0,0,0,0,0,101,0
100,37,scoreA,1,1,4,3,2,129,2,128,6,2
100,37,fedrn,0,0,0,0,0,143,0,142,0,0
100,37,final,0,0,0,0,0,143,0,142,0,0
100,72,scoreA,6,83,11,5,12,20,6,10,8,87
100,72,fedrn,0,101,0,0,1,1,0,0,0,90
100,72,final,0,101,0,0,1,1,0,0,0,90
100,59,scoreA,109,3,2,8,7,6,1,93,5,6
100,59,fedrn,112,0,0,0,0,0,0,108,0,0
100,59,final,112,0,0,0,0,0,0,108,0,0
100,0,scoreA,0,0,360,0,0,0,0,0,0,0
100,0,fedrn,0,0,364,0,0,0,0,0,0,0
100,0,final,0,0,364,0,0,0,0,0,0,0
100,58,scoreA,2,6,8,1,113,6,2,1,5,97
100,58,fedrn,0,0,0,0,115,0,0,0,0,98
100,58,final,0,0,0,0,115,0,0,0,0,98
100,4,scoreA,0,0,0,0,0,0,0,187,181,0
100,4,fedrn,0,0,0,0,0,0,0,193,182,0
100,4,final,0,0,0,0,0,0,0,193,182,0
100,6,scoreA,0,184,0,0,0,0,176,0,0,0
100,6,fedrn,0,188,0,0,0,0,185,0,0,0
100,6,final,0,188,0,0,0,0,185,0,0,0
100,84,scoreA,60,12,9,21,16,22,6,12,14,68
100,84,fedrn,72,2,0,13,6,14,2,1,2,70
100,84,final,72,2,0,13,6,14,2,1,2,70
100,47,scoreA,0,2,1,2,6,130,1,0,4,108
100,47,fedrn,0,0,0,0,0,136,0,0,0,121
100,47,final,0,0,0,0,0,136,0,0,0,121
100,23,scoreA,2,165,0,0,0,149,2,0,0,0
100,23,fedrn,0,169,0,0,0,165,0,0,0,0
100,23,final,0,169,0,0,0,165,0,0,0,0
100,25,scoreA,0,1,1,149,0,0,0,0,152,0
100,25,fedrn,0,0,0,158,0,0,0,0,153,0
100,25,final,0,0,0,158,0,0,0,0,153,0
100,87,scoreA,8,15,12,11,19,8,11,5,72,52
100,87,fedrn,0,11,0,0,10,0,0,0,83,62
100,87,final,0,11,0,0,10,0,0,0,83,62
100,73,scoreA,84,2,5,5,2,10,83,1,2,8
