epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
100,98,scoreA,1,2,1,0,118,111,2,3,1,4
100,98,fedrn,0,0,0,0,129,118,0,0,0,0
100,98,final,0,0,0,0,129,118,0,0,0,0
100,68,scoreA,2,9,4,5,3,3,129,3,2,91
100,68,fedrn,0,17,0,0,0,0,128,0,0,112
100,68,final,0,17,0,0,0,0,128,0,0,112
100,67,scoreA,0,124,1,4,2,3,5,2,120,1
100,67,fedrn,0,126,0,0,0,0,0,0,123,0
100,67,final,0,126,0,0,0,0,0,0,123,0
100,37,scoreA,0,4,6,1,4,110,0,119,3,1
100,37,fedrn,0,0,0,0,0,119,0,122,0,0
100,37,final,0,0,0,0,0,119,0,122,0,0
100,72,scoreA,1,132,2,0,1,5,2,2,0,95
100,72,fedrn,0,135,0,0,0,0,0,0,0,117
100,72,final,0,135,0,0,0,0,0,0,0,117
100,59,scoreA,119,0,0,6,2,4,0,117,4,0
100,59,fedrn,130,0,0,0,0,0,0,114,0,0
100,59,final,130,0,0,0,0,0,0,114,0,0
100,0,scoreA,0,0,238,1,0,0,0,1,0,0
100,0,fedrn,0,0,240,0,0,0,0,0,0,0
100,0,final,0,0,240,0,0,0,0,0,0,0
100,58,scoreA,0,1,4,1,128,1,0,0,3,92
100,58,fedrn,0,0,0,0,134,0,0,0,0,113
100,58,final,0,0,0,0,134,0,0,0,0,113
100,4,scoreA,0,3,3,0,3,1,0,118,112,1
100,4,fedrn,0,0,0,0,0,0,0,123,112,0
100,4,final,0,0,0,0,0,0,0,123,112,0
100,6,scoreA,0,110,0,1,0,0,113,0,0,2
100,6,fedrn,0,119,0,0,0,0,126,0,0,0
100,6,final,0,119,0,0,0,0,126,0,0,0
101,11,scoreA,2,5,4,2,131,106,3,1,2,3
101,11,fedrn,0,0,0,0,129,113,0,0,0,0
101,11,final,0,0,0,0,129,113,0,0,0,0
101,41,scoreA,115,0,3,119,0,1,4,2,1,3
101,41,fedrn,117,0,0,128,0,0,0,0,0,0
101,41,final,117,0,0,128,0,0,0,0,0,0
101,44,scoreA,1,2,4,3,3,1,109,119,5,3
101,44,fedrn,0,1,0,0,0,0,106,132,0,1
101,44,final,0,1,0,0,0,0,106,132,0,1
101,16,scoreA,115,2,0,109,0,1,0,2,1,1
101,16,fedrn,128,0,0,123,0,0,0,0,0,0
101,16,final,128,0,0,123,0,0,0,0,0,0
101,42,scoreA,1,138,4,2,4,3,1,1,100,2
101,42,fedrn,0,140,0,0,0,0,0,0,101,0
101,42,final,0,140,0,0,0,0,0,0,101,0
101,99,scoreA,1,0,0,0,3,1,0,1,119,114
101,99,fedrn,0,0,0,0,0,0,0,0,122,125
101,99,final,0,0,0,0,0,0,0,0,122,125
101,76,scoreA,0,118,2,110,2,1,1,0,1,0
101,76,fedrn,0,127,0,113,0,0,0,0,0,0
101,76,final,0,127,0,113,0,0,0,0,0,0
101,72,scoreA,0,135,0,0,0,0,0,0,0,120
101,72,fedrn,0,135,0,0,0,0,0,0,0,122
101,72,final,0,135,0,0,0,0,0,0,0,122
101,94,scoreA,113,118,1,2,1,2,1,0,0,2
101,94,fedrn,119,121,0,0,0,0,0,0,0,0
101,94,final,119,121,0,0,0,0,0,0,0,0
101,51,scoreA,0,2,1,0,112,2,0,117,2,4
101,51,fedrn,0,0,0,0,111,0,0,126,0,0
101,51,final,0,0,0,0,111,0,0,126,0,0
102,29,scoreA,2,1,1,2,1,1,0,0,0,235
102,29,fedrn,0,0,0,0,0,0,0,0,0,240
102,29,final,0,0,0,0,0,0,0,0,0,240
102,62,scoreA,114,0,7,1,3,1,1,115,3,2
102,62,fedrn,114,0,0,0,0,0,0,122,0,0
102,62,final,114,0,0,0,0,0,0,122,0,0
102,11,scoreA,0,0,0,0,135,108,0,0,0,0
102,11,fedrn,0,0,0,0,135,110,0,0,0,0
102,11,final,0,0,0,0,135,110,0,0,0,0
102,4,scoreA,0,0,0,0,0,0,0,123,116,0
102,4,fedrn,0,0,0,0,0,0,0,123,117,0
102,4,final,0,0,0,0,0,0,0,123,117,0
102,59,scoreA,130,0,0,0,0,0,0,116,0,0
102,59,fedrn,124,0,0,0,0,0,0,116,0,0
102,59,final,124,0,0,0,0,0,0,116,0,0
102,85,scoreA,1,107,3,3,123,0,2,3,4,4
102,85,fedrn,0,114,0,0,130,0,0,1,0,0
102,85,final,0,114,0,0,130,0,0,1,0,0
102,71,scoreA,1,105,5,2,3,123,3,2,3,2
102,71,fedrn,0,107,0,0,0,129,0,0,0,0
102,71,final,0,107,0,0,0,129,0,0,0,0
102,95,scoreA,0,0,0,119,86,0,0,2,0,1
102,95,fedrn,0,0,0,136,98,0,0,0,0,0
102,95,final,0,0,0,136,98,0,0,0,0,0
102,66,scoreA,0,121,2,0,105,0,0,0,0,2
102,66,fedrn,0,127,0,0,111,0,0,0,0,0
102,66,final,0,127,0,0,111,0,0,0,0,0
102,41,scoreA,113,0,0,125,0,0,0,0,0,0
102,41,fedrn,112,0,0,125,0,0,0,0,0,0
102,41,final,112,0,0,125,0,0,0,0,0,0
103,46,scoreA,0,0,0,1,1,0,107,0,1,117
103,46,fedrn,0,0,0,0,0,0,114,0,0,121
103,46,final,0,0,0,0,0,0,114,0,0,121
103,47,scoreA,0,7,2,1,4,118,1,0,1,107
103,47,fedrn,0,0,0,0,0,124,0,0,0,124
103,47,final,0,0,0,0,0,124,0,0,0,124
103,87,scoreA,0,5,2,0,1,1,0,0,108,106
103,87,fedrn,0,0,0,0,0,0,0,0,120,127
103,87,final,0,0,0,0,0,0,0,0,120,127
103,44,scoreA,0,1,0,0,0,0,108,128,0,1
103,44,fedrn,0,0,0,0,0,0,109,133,0,0
103,44,final,0,0,0,0,0,0,109,133,0,0
103,66,scoreA,0,127,0,0,109,0,0,0,0,0
103,66,fedrn,0,128,0,0,111,0,0,0,0,0
103,66,final,0,128,0,0,111,0,0,0,0,0
103,72,scoreA,0,124,0,0,0,0,0,0,0,126
103,72,fedrn,0,135,0,0,0,0,0,0,0,126
103,72,final,0,135,0,0,0,0,0,0,0,126
103,97,scoreA,2,5,10,4,136,2,1,103,0,5
103,97,fedrn,0,0,0,0,139,0,0,110,0,0
103,97,final,0,0,0,0,139,0,0,110,0,0
