epoch,target_client,best_net2_client,scoreA_count,scoreA_precision,scoreA_recall,fedrn_clean_count,bestnet2_clean_count,final_clean_count,final_precision,final_recall,missed_clean,false_clean
100,98,-1,212,0.334906,0.816092,216,-1,216,0.398148,0.988506,1,130
100,68,-1,281,0.615658,0.945355,182,-1,182,0.945055,0.939891,11,10
100,67,-1,252,0.650794,0.881720,193,-1,193,0.937824,0.973118,5,12
100,37,-1,278,0.902878,0.890071,285,-1,285,0.975439,0.985816,4,7
100,72,-1,248,0.604839,0.882353,193,-1,193,0.865285,0.982353,3,26
100,59,-1,240,0.800000,0.905660,220,-1,220,0.945455,0.981132,4,12
100,0,-1,360,1.000000,0.900000,364,-1,364,1.000000,0.910000,36,0
100,58,-1,241,0.842324,0.944186,213,-1,213,0.976526,0.967442,7,5
100,4,-1,368,1.000000,0.948454,375,-1,375,1.000000,0.966495,13,0
100,6,-1,360,1.000000,0.944882,373,-1,373,1.000000,0.979003,8,0
100,84,-1,240,0.500000,0.909091,182,-1,182,0.714286,0.984848,2,52
100,47,-1,254,0.921260,0.936000,257,-1,257,0.964981,0.992000,2,9
100,23,-1,318,0.977987,0.951070,334,-1,334,0.976048,0.996942,1,8
100,25,-1,303,0.986799,0.934375,311,-1,311,0.993569,0.965625,11,2
100,87,-1,213,0.497653,0.868852,166,-1,166,0.704819,0.959016,5,49
100,73,-1,202,0.801980,0.970060,171,-1,171,0.964912,0.988024,2,6
100,3,-1,380,1.000000,0.971867,381,-1,381,1.000000,0.974425,10,0
100,5,-1,369,1.000000,0.960938,384,-1,384,1.000000,1.000000,0,0
100,74,-1,219,0.726027,0.969512,164,-1,164,1.000000,1.000000,0,0
100,54,-1,261,0.831418,0.951754,230,-1,230,0.978261,0.986842,3,5
100,10,-1,350,0.988571,0.940217,362,-1,362,0.991713,0.975543,9,3
100,36,-1,281,0.975089,0.961404,285,-1,285,0.985965,0.985965,4,4
100,70,-1,259,0.652510,0.960227,167,-1,167,0.976048,0.926136,13,4
100,75,-1,230,0.656522,0.943750,157,-1,157,0.980892,0.962500,6,3
100,53,-1,198,0.974747,0.835498,238,-1,238,0.966387,0.995671,1,8
100,27,-1,301,0.963455,0.923567,322,-1,322,0.975155,1.000000,0,8
100,46,-1,241,0.970954,0.924901,255,-1,255,0.980392,0.988142,3,5
100,35,-1,304,0.914474,0.965278,290,-1,290,0.979310,0.986111,4,6
100,71,-1,239,0.694561,0.959538,186,-1,186,0.908602,0.976879,4,17
100,78,-1,272,0.536765,0.966887,190,-1,190,0.789474,0.993377,1,40
