epoch,target_client,best_net2_client,scoreA_count,scoreA_precision,scoreA_recall,fedrn_clean_count,bestnet2_clean_count,final_clean_count,final_precision,final_recall,missed_clean,false_clean
100,98,-1,243,0.905350,0.916667,247,-1,247,0.955466,0.983333,4,11
100,68,-1,251,0.860558,0.900000,257,-1,257,0.906615,0.970833,7,24
100,67,-1,262,0.874046,0.954167,249,-1,249,0.943775,0.979167,5,14
100,37,-1,248,0.903226,0.933333,241,-1,241,0.979253,0.983333,4,5
100,72,-1,240,0.900000,0.900000,252,-1,252,0.936508,0.983333,4,16
100,59,-1,252,0.912698,0.958333,244,-1,244,0.954918,0.970833,7,11
100,0,-1,240,0.991667,0.991667,240,-1,240,1.000000,1.000000,0,0
100,58,-1,230,0.939130,0.900000,247,-1,247,0.955466,0.983333,4,11
100,4,-1,241,0.946058,0.950000,235,-1,235,0.995745,0.975000,6,1
100,6,-1,226,0.977876,0.920833,245,-1,245,0.967347,0.987500,3,8
101,11,-1,259,0.876448,0.945833,242,-1,242,0.954545,0.962500,9,11
101,41,-1,248,0.923387,0.954167,245,-1,245,0.955102,0.975000,6,11
101,44,-1,250,0.900000,0.937500,240,-1,240,0.954167,0.954167,11,11
101,16,-1,231,0.952381,0.916667,251,-1,251,0.952191,0.995833,1,12
101,42,-1,256,0.902344,0.962500,241,-1,241,0.966805,0.970833,7,8
101,99,-1,239,0.933054,0.929167,247,-1,247,0.939271,0.966667,8,15
101,76,-1,235,0.948936,0.929167,240,-1,240,0.983333,0.983333,4,4
101,72,-1,255,0.937255,0.995833,257,-1,257,0.929961,0.995833,1,18
101,94,-1,240,0.941667,0.941667,240,-1,240,0.983333,0.983333,4,4
101,51,-1,240,0.908333,0.908333,237,-1,237,0.945148,0.933333,16,13
102,29,-1,243,0.967078,0.979167,240,-1,240,1.000000,1.000000,0,0
102,62,-1,247,0.910931,0.937500,236,-1,236,0.987288,0.970833,7,3
102,11,-1,243,0.954733,0.966667,245,-1,245,0.955102,0.975000,6,11
102,4,-1,239,0.995816,0.991667,240,-1,240,0.995833,0.995833,1,1
102,59,-1,246,0.955285,0.979167,240,-1,240,0.970833,0.970833,7,7
102,85,-1,250,0.904000,0.941667,245,-1,245,0.963265,0.983333,4,9
102,71,-1,249,0.883534,0.916667,236,-1,236,0.966102,0.950000,12,8
102,95,-1,208,0.947115,0.820833,234,-1,234,0.948718,0.925000,18,12
102,66,-1,230,0.978261,0.937500,238,-1,238,0.983193,0.975000,6,4
102,41,-1,238,0.966387,0.958333,237,-1,237,0.966245,0.954167,11,8
103,46,-1,227,0.982379,0.929167,235,-1,235,0.987234,0.966667,8,3
103,47,-1,241,0.912863,0.916667,248,-1,248,0.943548,0.975000,6,14
103,87,-1,223,0.941704,0.875000,247,-1,247,0.951417,0.979167,5,12
103,44,-1,238,0.966387,0.958333,242,-1,242,0.958678,0.966667,8,10
103,66,-1,236,0.987288,0.970833,239,-1,239,0.987448,0.983333,4,3
103,72,-1,250,0.932000,0.970833,261,-1,261,0.919540,1.000000,0,21
103,97,-1,268,0.835821,0.933333,249,-1,249,0.935743,0.970833,7,16
103,84,-1,259,0.888031,0.958333,245,-1,245,0.971429,0.991667,2,7
103,39,-1,281,0.818505,0.958333,248,-1,248,0.951613,0.983333,4,12
103,82,-1,230,0.973913,0.933333,240,-1,240,0.966667,0.966667,8,8
104,64,-1,238,0.983193,0.975000,240,-1,240,1.000000,1.000000,0,0
104,80,-1,268,0.880597,0.983333,240,-1,240,1.000000,1.000000,0,0
104,31,-1,269,0.847584,0.950000,235,-1,235,0.982979,0.962500,9,4
104,23,-1,239,0.937238,0.933333,245,-1,245,0.959184,0.979167,5,10
104,20,-1,269,0.843866,0.945833,251,-1,251,0.952191,0.995833,1,12
104,60,-1,247,0.951417,0.979167,240,-1,240,1.000000,1.000000,0,0
104,68,-1,246,0.947154,0.970833,243,-1,243,0.975309,0.987500,3,6
104,25,-1,262,0.877863,0.958333,238,-1,238,0.978992,0.970833,7,5
104,98,-1,247,0.955466,0.983333,241,-1,241,0.966805,0.970833,7,8
104,24,-1,279,0.817204,0.950000,243,-1,243,0.946502,0.958333,10,13
105,15,-1,281,0.814947,0.954167,251,-1,251,0.940239,0.983333,4,15
105,5,-1,231,0.974026,0.937500,234,-1,234,0.982906,0.958333,10,4
105,48,-1,218,0.949541,0.862500,241,-1,241,0.954357,0.958333,10,11
105,26,-1,243,0.872428,0.883333,238,-1,238,0.953782,0.945833,13,11
105,91,-1,260,0.850000,0.920833,255,-1,255,0.925490,0.983333,4,19
105,65,-1,275,0.832727,0.954167,254,-1,254,0.940945,0.995833,1,15
105,19,-1,226,0.960177,0.904167,239,-1,239,0.970711,0.966667,8,7
105,59,-1,237,0.978903,0.966667,240,-1,240,0.979167,0.979167,5,5
105,11,-1,238,0.957983,0.950000,246,-1,246,0.955285,0.979167,5,11
105,55,-1,248,0.826613,0.854167,246,-1,246,0.951220,0.975000,6,12
106,35,-1,221,0.959276,0.883333,229,-1,229,0.973799,0.929167,17,6
106,71,-1,240,0.979167,0.979167,247,-1,247,0.951417,0.979167,5,12
106,4,-1,240,0.995833,0.995833,241,-1,241,0.991701,0.995833,1,2
