epoch,client_id,fedrn_clean_count,bestnet2_clean_count,final_clean_count,fedrn_only_clean_count,bestnet2_only_clean_count,both_clean_count,fedrn_only_precision,bestnet2_only_precision,both_precision,fedrn_precision,bestnet2_precision,final_precision,fedrn_recall,bestnet2_recall,final_recall
200,41,262,279,266,1,18,261,1.000000,0.388889,0.992337,0.992366,0.953405,0.992481,0.966543,0.988848,0.981413
200,80,143,144,143,0,1,143,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993056,1.000000,0.993056
200,54,230,236,230,1,7,229,0.000000,0.142857,0.991266,0.986957,0.966102,0.991304,0.995614,1.000000,1.000000
200,29,308,308,308,0,0,308,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
200,53,232,247,236,0,15,232,0.000000,0.200000,0.982759,0.982759,0.935223,0.974576,0.987013,1.000000,0.995671
200,38,282,291,286,0,9,282,0.000000,0.222222,0.982270,0.982270,0.958763,0.975524,0.992832,1.000000,1.000000
200,76,160,185,163,0,25,160,0.000000,0.120000,0.962500,0.962500,0.848649,0.944785,0.980892,1.000000,0.980892
200,56,228,238,232,0,10,228,0.000000,0.000000,0.969298,0.969298,0.928571,0.952586,1.000000,1.000000,1.000000
200,24,322,335,329,0,13,322,0.000000,0.615385,0.981366,0.981366,0.967164,0.978723,0.975309,1.000000,0.993827
200,10,341,374,359,0,33,341,0.000000,0.848485,0.997067,0.997067,0.983957,0.997214,0.923913,1.000000,0.972826
200,91,128,134,130,2,8,126,0.500000,0.250000,0.841270,0.835938,0.805970,0.838462,0.981651,0.990826,1.000000
200,87,76,85,76,0,9,76,0.000000,0.000000,0.776316,0.776316,0.694118,0.776316,0.483607,0.483607,0.483607
200,48,249,264,257,0,15,249,0.000000,0.466667,0.963855,0.963855,0.935606,0.957198,0.971660,1.000000,0.995951
200,5,375,373,380,8,6,367,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.976562,0.971354,0.989583
200,77,160,172,168,1,13,159,1.000000,0.461538,0.924528,0.925000,0.889535,0.910714,0.961039,0.993506,0.993506
200,82,136,177,138,0,41,136,0.000000,0.073171,0.992647,0.992647,0.779661,0.978261,0.978261,1.000000,0.978261
200,3,388,377,387,12,1,376,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.992327,0.964194,0.989770
200,68,180,196,184,3,19,177,1.000000,0.263158,0.983051,0.983333,0.913265,0.972826,0.967213,0.978142,0.978142
200,17,342,353,350,0,11,342,0.000000,0.818182,0.985380,0.985380,0.980170,0.985714,0.973988,1.000000,0.997110
200,60,208,208,208,0,0,208,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
200,62,200,215,205,0,15,200,0.000000,0.333333,0.985000,0.985000,0.939535,0.970732,0.975248,1.000000,0.985149
200,2,394,394,394,0,0,394,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
200,27,322,323,323,0,1,322,0.000000,1.000000,0.972050,0.972050,0.972136,0.972136,0.996815,1.000000,1.000000
200,59,217,232,218,0,15,217,0.000000,0.200000,0.963134,0.963134,0.913793,0.958716,0.985849,1.000000,0.985849
200,16,342,354,346,0,12,342,0.000000,0.666667,0.997076,0.997076,0.985876,0.997110,0.977077,1.000000,0.988539
200,44,260,270,264,0,10,260,0.000000,0.200000,0.992308,0.992308,0.962963,0.984848,0.992308,1.000000,1.000000
200,72,200,199,200,1,0,199,0.000000,0.000000,0.854271,0.850000,0.854271,0.850000,1.000000,1.000000,1.000000
200,96,98,155,113,2,59,96,0.000000,0.016949,0.958333,0.938776,0.600000,0.823009,0.989247,1.000000,1.000000
