epoch,client_id,fedrn_clean_count,bestnet2_clean_count,final_clean_count,fedrn_only_clean_count,bestnet2_only_clean_count,both_clean_count,fedrn_only_precision,bestnet2_only_precision,both_precision,fedrn_precision,bestnet2_precision,final_precision,fedrn_recall,bestnet2_recall,final_recall
200,55,246,254,250,2,10,244,1.000000,0.400000,0.959016,0.959350,0.937008,0.956000,0.983333,0.991667,0.995833
200,41,236,258,240,0,22,236,0.000000,0.318182,0.987288,0.987288,0.930233,0.979167,0.970833,1.000000,0.979167
200,24,230,262,250,0,32,230,0.000000,0.656250,0.952174,0.952174,0.916031,0.952000,0.912500,1.000000,0.991667
200,4,239,242,241,0,3,239,0.000000,0.333333,1.000000,1.000000,0.991736,0.995851,0.995833,1.000000,1.000000
200,13,237,228,237,9,0,228,1.000000,0.000000,0.995614,0.995781,0.995614,0.995781,0.983333,0.945833,0.983333
200,71,239,259,244,0,20,239,0.000000,0.100000,0.995816,0.995816,0.926641,0.983607,0.991667,1.000000,1.000000
200,26,237,241,251,16,20,221,0.625000,0.650000,0.981900,0.957806,0.954357,0.956175,0.945833,0.958333,1.000000
200,56,245,257,250,0,12,245,0.000000,0.000000,0.979592,0.979592,0.933852,0.960000,1.000000,1.000000,1.000000
200,93,236,259,240,0,23,236,0.000000,0.217391,0.995763,0.995763,0.926641,0.995833,0.979167,1.000000,0.995833
200,82,241,240,241,7,6,234,0.857143,0.166667,0.987179,0.983402,0.966667,0.983402,0.987500,0.966667,0.987500
201,28,237,259,239,0,22,237,0.000000,0.409091,0.974684,0.974684,0.926641,0.970711,0.962500,1.000000,0.966667
201,58,239,257,245,0,18,239,0.000000,0.222222,0.987448,0.987448,0.933852,0.975510,0.983333,1.000000,0.995833
201,65,238,258,240,0,20,238,0.000000,0.700000,0.949580,0.949580,0.930233,0.950000,0.941667,1.000000,0.950000
201,85,242,260,245,0,18,242,0.000000,0.055556,0.987603,0.987603,0.923077,0.979592,0.995833,1.000000,1.000000
201,40,254,256,256,0,2,254,0.000000,1.000000,0.937008,0.937008,0.937500,0.937500,0.991667,1.000000,1.000000
201,13,238,245,239,1,8,237,1.000000,0.375000,0.995781,0.995798,0.975510,0.995816,0.987500,0.995833,0.991667
