epoch,client_id,scoreA_count,scoreA_precision,scoreA_recall,scoreA_false_clean,scoreA_missed_clean,true_clean_count,total_count
100,98,243,0.905350,0.916667,23,20,240,400
100,68,251,0.860558,0.900000,35,24,240,400
100,67,262,0.874046,0.954167,33,11,240,400
100,37,248,0.903226,0.933333,24,16,240,400
100,72,240,0.900000,0.900000,24,24,240,400
100,59,252,0.912698,0.958333,22,10,240,400
100,0,240,0.991667,0.991667,2,2,240,400
100,58,230,0.939130,0.900000,14,24,240,400
100,4,241,0.946058,0.950000,13,12,240,400
100,6,226,0.977876,0.920833,5,19,240,400
101,11,259,0.876448,0.945833,32,13,240,400
101,41,248,0.923387,0.954167,19,11,240,400
101,44,250,0.900000,0.937500,25,15,240,400
101,16,231,0.952381,0.916667,11,20,240,400
101,42,256,0.902344,0.962500,25,9,240,400
101,99,239,0.933054,0.929167,16,17,240,400
101,76,235,0.948936,0.929167,12,17,240,400
101,72,255,0.937255,0.995833,16,1,240,400
101,94,240,0.941667,0.941667,14,14,240,400
101,51,240,0.908333,0.908333,22,22,240,400
102,29,243,0.967078,0.979167,8,5,240,400
102,62,247,0.910931,0.937500,22,15,240,400
102,11,243,0.954733,0.966667,11,8,240,400
102,4,239,0.995816,0.991667,1,2,240,400
102,59,246,0.955285,0.979167,11,5,240,400
102,85,250,0.904000,0.941667,24,14,240,400
102,71,249,0.883534,0.916667,29,20,240,400
102,95,208,0.947115,0.820833,11,43,240,400
102,66,230,0.978261,0.937500,5,15,240,400
102,41,238,0.966387,0.958333,8,10,240,400
103,46,227,0.982379,0.929167,4,17,240,400
103,47,241,0.912863,0.916667,21,20,240,400
103,87,223,0.941704,0.875000,13,30,240,400
103,44,238,0.966387,0.958333,8,10,240,400
103,66,236,0.987288,0.970833,3,7,240,400
103,72,250,0.932000,0.970833,17,7,240,400
103,97,268,0.835821,0.933333,44,16,240,400
103,84,259,0.888031,0.958333,29,10,240,400
103,39,281,0.818505,0.958333,51,10,240,400
103,82,230,0.973913,0.933333,6,16,240,400
104,64,238,0.983193,0.975000,4,6,240,400
104,80,268,0.880597,0.983333,32,4,240,400
104,31,269,0.847584,0.950000,41,12,240,400
104,23,239,0.937238,0.933333,15,16,240,400
104,20,269,0.843866,0.945833,42,13,240,400
104,60,247,0.951417,0.979167,12,5,240,400
104,68,246,0.947154,0.970833,13,7,240,400
104,25,262,0.877863,0.958333,32,10,240,400
104,98,247,0.955466,0.983333,11,4,240,400
104,24,279,0.817204,0.950000,51,12,240,400
105,15,281,0.814947,0.954167,52,11,240,400
105,5,231,0.974026,0.937500,6,15,240,400
105,48,218,0.949541,0.862500,11,33,240,400
105,26,243,0.872428,0.883333,31,28,240,400
105,91,260,0.850000,0.920833,39,19,240,400
105,65,275,0.832727,0.954167,46,11,240,400
105,19,226,0.960177,0.904167,9,23,240,400
105,59,237,0.978903,0.966667,5,8,240,400
105,11,238,0.957983,0.950000,10,12,240,400
105,55,248,0.826613,0.854167,43,35,240,400
106,35,221,0.959276,0.883333,9,28,240,400
106,71,240,0.979167,0.979167,5,5,240,400
106,4,240,0.995833,0.995833,1,1,240,400
106,26,243,0.958848,0.970833,10,7,240,400
106,59,242,0.975207,0.983333,6,4,240,400
106,13,287,0.804878,0.962500,56,9,240,400
106,39,251,0.952191,0.995833,12,1,240,400
106,24,247,0.947368,0.975000,13,6,240,400
106,66,240,0.987500,0.987500,3,3,240,400
106,54,238,0.974790,0.966667,6,8,240,400
107,83,253,0.885375,0.933333,29,16,240,400
107,8,274,0.854015,0.975000,40,6,240,400
107,68,244,0.971311,0.987500,7,3,240,400
107,31,240,0.979167,0.979167,5,5,240,400
107,9,234,0.987179,0.962500,3,9,240,400
107,57,219,0.958904,0.875000,9,30,240,400
107,72,260,0.923077,1.000000,20,0,240,400
107,75,230,0.969565,0.929167,7,17,240,400
107,6,243,0.979424,0.991667,5,2,240,400
107,91,251,0.920319,0.962500,20,9,240,400
108,71,247,0.959514,0.987500,10,3,240,400
108,70,229,0.960699,0.916667,9,20,240,400
108,72,260,0.923077,1.000000,20,0,240,400
108,44,244,0.963115,0.979167,9,5,240,400
108,67,248,0.959677,0.991667,10,2,240,400
108,73,241,0.929461,0.933333,17,16,240,400
108,93,232,0.956897,0.925000,10,18,240,400
108,65,240,0.933333,0.933333,16,16,240,400
108,39,230,0.952174,0.912500,11,21,240,400
108,10,249,0.895582,0.929167,26,17,240,400
109,74,254,0.905512,0.958333,24,10,240,400
109,83,239,0.970711,0.966667,7,8,240,400
109,6,239,0.983264,0.979167,4,5,240,400
109,85,249,0.959839,0.995833,10,1,240,400
109,38,252,0.900794,0.945833,25,13,240,400
109,56,237,0.940928,0.929167,14,17,240,400
109,94,238,0.987395,0.979167,3,5,240,400
109,91,250,0.936000,0.975000,16,6,240,400
109,63,262,0.847328,0.925000,40,18,240,400
109,0,240,1.000000,1.000000,0,0,240,400
110,47,245,0.963265,0.983333,9,4,240,400
110,53,242,0.938017,0.945833,15,13,240,400
110,62,237,0.983122,0.970833,4,7,240,400
