epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
100,98,scoreA,29,31,33,21,51,71,12,36,34,40
100,98,fedrn,35,30,16,9,56,82,6,45,36,27
100,98,final,35,30,16,9,56,82,6,45,36,27
100,68,scoreA,4,3,2,2,8,0,114,0,5,114
100,68,fedrn,0,0,0,0,0,0,102,0,0,129
100,68,final,0,0,0,0,0,0,102,0,0,129
100,67,scoreA,6,123,9,8,1,9,1,4,109,11
100,67,fedrn,1,138,0,0,0,0,0,0,114,0
100,67,final,1,138,0,0,0,0,0,0,114,0
100,37,scoreA,1,0,3,0,6,167,1,165,3,3
100,37,fedrn,0,0,0,0,0,187,0,178,0,0
100,37,final,0,0,0,0,0,187,0,178,0,0
100,72,scoreA,2,100,7,18,11,20,20,2,23,127
100,72,fedrn,1,109,1,6,2,8,7,0,9,134
100,72,final,1,109,1,6,2,8,7,0,9,134
100,59,scoreA,113,6,7,5,4,7,5,131,7,13
100,59,fedrn,135,0,0,0,0,0,0,136,0,1
100,59,final,135,0,0,0,0,0,0,136,0,1
100,0,scoreA,0,0,414,0,0,0,0,0,0,0
100,0,fedrn,0,0,453,0,0,0,0,0,0,0
100,0,final,0,0,453,0,0,0,0,0,0,0
100,58,scoreA,2,1,4,1,121,2,1,4,5,136
100,58,fedrn,0,0,0,0,141,0,0,0,0,144
100,58,final,0,0,0,0,141,0,0,0,0,144
100,4,scoreA,0,0,0,0,0,0,0,230,230,0
100,4,fedrn,0,0,0,0,0,0,0,241,233,0
100,4,final,0,0,0,0,0,0,0,241,233,0
100,6,scoreA,0,231,0,0,0,0,225,0,1,1
100,6,fedrn,0,239,0,0,0,0,228,0,0,0
100,6,final,0,239,0,0,0,0,228,0,0,0
100,84,scoreA,54,9,9,11,24,21,18,15,25,88
100,84,fedrn,66,1,2,0,16,4,1,1,14,103
100,84,final,66,1,2,0,16,4,1,1,14,103
100,47,scoreA,0,0,1,3,5,133,0,4,0,144
100,47,fedrn,0,0,0,0,0,164,0,0,0,159
100,47,final,0,0,0,0,0,164,0,0,0,159
100,23,scoreA,0,182,0,0,0,204,0,0,2,0
100,23,fedrn,0,198,0,0,0,203,0,0,0,0
100,23,final,0,198,0,0,0,203,0,0,0,0
100,25,scoreA,0,0,0,184,0,0,0,0,194,1
100,25,fedrn,0,0,0,200,0,0,0,0,201,0
100,25,final,0,0,0,200,0,0,0,0,201,0
100,87,scoreA,8,14,20,26,13,9,12,13,90,65
100,87,fedrn,0,0,4,9,1,0,1,2,98,79
100,87,final,0,0,4,9,1,0,1,2,98,79
100,73,scoreA,105,6,7,13,9,17,96,9,5,14
100,73,fedrn,111,0,0,0,0,0,94,0,0,0
100,73,final,111,0,0,0,0,0,94,0,0,0
100,3,scoreA,0,0,0,1,0,0,245,0,238,0
100,3,fedrn,0,0,0,0,0,0,244,0,236,0
100,3,final,0,0,0,0,0,0,244,0,236,0
100,5,scoreA,227,0,0,0,0,0,243,0,1,0
100,5,fedrn,227,0,0,0,0,0,243,0,0,0
100,5,final,227,0,0,0,0,0,243,0,0,0
100,74,scoreA,4,11,14,10,21,200,8,8,7,28
100,74,fedrn,0,0,0,0,0,203,0,0,0,1
100,74,final,0,0,0,0,0,203,0,0,0,1
100,54,scoreA,3,139,4,3,4,3,132,13,3,2
100,54,fedrn,0,147,0,1,0,0,140,0,1,0
100,54,final,0,147,0,1,0,0,140,0,1,0
100,10,scoreA,0,0,0,196,0,0,0,220,0,0
100,10,fedrn,0,0,0,217,0,0,0,219,0,0
100,10,final,0,0,0,217,0,0,0,219,0,0
100,36,scoreA,0,155,0,166,0,1,0,0,0,1
100,36,fedrn,0,178,0,182,0,0,0,0,0,0
100,36,final,0,178,0,182,0,0,0,0,0,0
100,70,scoreA,3,7,4,5,10,114,6,3,110,12
100,70,fedrn,0,0,1,0,0,113,0,0,108,0
100,70,final,0,0,1,0,0,113,0,0,108,0
100,75,scoreA,7,9,3,97,22,19,15,11,96,13
100,75,fedrn,0,0,0,107,0,0,0,0,89,0
100,75,final,0,0,0,107,0,0,0,0,89,0
100,53,scoreA,130,2,2,1,3,8,4,151,4,8
100,53,fedrn,140,0,0,0,0,0,0,156,0,0
100,53,final,140,0,0,0,0,0,0,156,0,0
100,27,scoreA,0,0,205,0,0,177,0,2,0,1
100,27,fedrn,0,0,210,0,0,192,0,0,0,0
100,27,final,0,0,210,0,0,192,0,0,0,0
100,46,scoreA,0,0,0,2,0,0,160,3,1,143
100,46,fedrn,0,0,0,0,0,0,161,0,0,155
100,46,final,0,0,0,0,0,0,161,0,0,155
100,35,scoreA,0,2,181,1,2,1,1,2,161,3
100,35,fedrn,0,0,187,0,0,0,0,0,175,0
100,35,final,0,0,187,0,0,0,0,0,175,0
100,71,scoreA,3,102,14,9,15,129,6,20,15,12
100,71,fedrn,0,99,0,0,0,132,0,0,0,0
100,71,final,0,99,0,0,0,132,0,0,0,0
100,78,scoreA,7,14,98,15,88,18,8,8,11,13
100,78,fedrn,0,0,98,0,96,3,0,0,2,1
100,78,final,0,0,98,0,96,3,0,0,2,1
100,22,scoreA,202,0,0,0,0,183,1,0,1,0
100,22,fedrn,200,0,0,0,0,199,0,0,0,0
100,22,final,200,0,0,0,0,199,0,0,0,0
100,11,scoreA,0,0,0,0,221,207,0,0,0,0
100,11,fedrn,0,0,0,0,234,223,0,0,0,0
100,11,final,0,0,0,0,234,223,0,0,0,0
100,8,scoreA,0,0,0,0,0,0,0,230,225,0
100,8,fedrn,0,0,0,0,0,0,0,232,227,0
