epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
100,98,scoreA,1,0,1,0,126,146,0,0,0,6
100,98,fedrn,0,0,0,0,146,167,0,0,0,0
100,98,final,0,0,0,0,146,167,0,0,0,0
100,68,scoreA,1,3,1,4,5,0,158,2,3,136
100,68,fedrn,0,0,0,0,0,0,156,0,0,156
100,68,final,0,0,0,0,0,0,156,0,0,156
100,67,scoreA,1,149,1,1,3,5,0,2,145,10
100,67,fedrn,0,157,0,0,0,0,0,0,150,0
100,67,final,0,157,0,0,0,0,0,0,150,0
100,37,scoreA,1,1,4,3,1,150,2,139,4,3
100,37,fedrn,0,0,0,0,0,157,0,162,0,0
100,37,final,0,0,0,0,0,157,0,162,0,0
100,72,scoreA,0,135,0,0,1,2,0,0,2,159
100,72,fedrn,0,152,0,0,0,0,0,0,0,169
100,72,final,0,152,0,0,0,0,0,0,0,169
100,59,scoreA,140,0,0,0,1,1,1,148,2,3
100,59,fedrn,140,0,0,0,0,0,0,163,0,0
100,59,final,140,0,0,0,0,0,0,163,0,0
100,0,scoreA,4,0,292,1,3,3,1,3,0,7
100,0,fedrn,0,0,300,0,0,0,0,0,0,0
100,0,final,0,0,300,0,0,0,0,0,0,0
100,58,scoreA,1,0,1,0,142,2,1,1,2,142
100,58,fedrn,0,0,0,0,151,0,0,0,0,155
100,58,final,0,0,0,0,151,0,0,0,0,155
100,4,scoreA,1,1,0,1,2,0,0,124,144,0
100,4,fedrn,0,0,0,0,0,0,0,145,145,0
100,4,final,0,0,0,0,0,0,0,145,145,0
100,6,scoreA,0,148,0,1,0,1,137,1,0,0
100,6,fedrn,0,148,0,0,0,0,147,0,0,0
100,6,final,0,148,0,0,0,0,147,0,0,0
101,11,scoreA,0,0,0,1,148,123,1,2,0,2
101,11,fedrn,0,0,0,0,160,143,0,0,0,0
101,11,final,0,0,0,0,160,143,0,0,0,0
101,41,scoreA,152,3,2,141,5,3,0,2,0,5
101,41,fedrn,153,0,0,143,0,0,0,0,0,0
101,41,final,153,0,0,143,0,0,0,0,0,0
101,44,scoreA,3,3,5,6,6,3,144,159,2,12
101,44,fedrn,0,0,0,0,0,0,150,168,0,0
101,44,final,0,0,0,0,0,0,150,168,0,0
101,16,scoreA,143,0,0,129,0,1,0,1,1,1
101,16,fedrn,155,0,0,139,0,0,0,0,0,0
101,16,final,155,0,0,139,0,0,0,0,0,0
101,42,scoreA,4,153,1,3,4,2,3,2,136,2
101,42,fedrn,0,158,0,0,0,0,0,0,151,0
101,42,final,0,158,0,0,0,0,0,0,151,0
101,99,scoreA,0,0,0,1,3,0,4,4,137,151
101,99,fedrn,0,0,0,0,0,0,0,0,137,166
101,99,final,0,0,0,0,0,0,0,0,137,166
101,76,scoreA,1,146,0,130,1,2,0,1,0,0
101,76,fedrn,0,154,0,143,0,0,0,0,0,0
101,76,final,0,154,0,143,0,0,0,0,0,0
101,72,scoreA,0,157,0,0,0,0,0,0,0,169
101,72,fedrn,0,158,0,0,0,0,0,0,0,170
101,72,final,0,158,0,0,0,0,0,0,0,170
101,94,scoreA,154,133,1,7,3,0,1,1,3,4
101,94,fedrn,157,148,0,0,0,0,0,0,0,0
101,94,final,157,148,0,0,0,0,0,0,0,0
101,51,scoreA,0,1,2,2,136,5,2,156,0,8
101,51,fedrn,0,0,0,0,151,0,0,165,0,0
101,51,final,0,0,0,0,151,0,0,165,0,0
102,29,scoreA,0,0,2,0,4,0,2,2,1,283
102,29,fedrn,0,0,0,0,0,0,0,0,0,300
102,29,final,0,0,0,0,0,0,0,0,0,300
102,62,scoreA,140,0,0,0,1,1,1,138,2,1
102,62,fedrn,151,0,0,0,0,0,0,153,0,0
102,62,final,151,0,0,0,0,0,0,153,0,0
102,11,scoreA,0,0,0,0,163,144,0,0,0,0
102,11,fedrn,0,0,0,0,167,156,0,0,0,0
102,11,final,0,0,0,0,167,156,0,0,0,0
102,4,scoreA,0,0,0,0,0,0,0,145,150,0
102,4,fedrn,0,0,0,0,0,0,0,145,148,0
102,4,final,0,0,0,0,0,0,0,145,148,0
102,59,scoreA,152,0,0,0,0,0,0,140,0,0
102,59,fedrn,154,0,0,0,0,0,0,161,0,0
102,59,final,154,0,0,0,0,0,0,161,0,0
102,85,scoreA,0,139,0,0,134,0,0,1,0,1
102,85,fedrn,0,158,0,0,147,0,0,0,0,0
102,85,final,0,158,0,0,147,0,0,0,0,0
102,71,scoreA,1,134,0,1,0,134,0,2,0,0
102,71,fedrn,0,146,0,0,0,159,0,0,0,0
102,71,final,0,146,0,0,0,159,0,0,0,0
102,95,scoreA,1,1,0,134,153,3,1,5,4,4
102,95,fedrn,0,0,0,155,157,0,0,0,0,0
102,95,final,0,0,0,155,157,0,0,0,0,0
102,66,scoreA,0,151,1,0,127,0,0,0,2,1
102,66,fedrn,0,162,0,0,132,0,0,0,0,0
102,66,final,0,162,0,0,132,0,0,0,0,0
102,41,scoreA,152,0,0,150,0,0,0,0,0,0
102,41,fedrn,155,0,0,157,0,0,0,0,0,0
102,41,final,155,0,0,157,0,0,0,0,0,0
103,46,scoreA,0,0,0,0,0,0,134,0,0,143
103,46,fedrn,0,0,0,0,0,0,172,0,0,147
103,46,final,0,0,0,0,0,0,172,0,0,147
103,47,scoreA,0,1,3,5,5,138,1,4,0,153
103,47,fedrn,0,0,0,0,0,149,0,0,0,155
103,47,final,0,0,0,0,0,149,0,0,0,155
103,87,scoreA,3,0,0,3,3,1,2,1,149,130
103,87,fedrn,0,0,0,0,0,0,0,0,159,149
103,87,final,0,0,0,0,0,0,0,0,159,149
103,44,scoreA,0,0,0,0,0,0,144,161,0,0
103,44,fedrn,0,0,0,0,0,0,152,173,0,0
103,44,final,0,0,0,0,0,0,152,173,0,0
103,66,scoreA,0,159,0,0,136,0,0,0,0,0
103,66,fedrn,0,160,0,0,140,0,0,0,0,0
103,66,final,0,160,0,0,140,0,0,0,0,0
103,72,scoreA,0,158,0,0,0,0,0,0,0,170
103,72,fedrn,0,158,0,0,0,0,0,0,0,170
103,72,final,0,158,0,0,0,0,0,0,0,170
103,97,scoreA,4,5,6,3,145,4,2,124,9,1
103,97,fedrn,0,0,0,0,155,0,0,157,0,0
103,97,final,0,0,0,0,155,0,0,157,0,0
103,84,scoreA,128,0,1,5,2,1,3,2,1,161
103,84,fedrn,137,0,0,1,0,0,0,0,0,163
103,84,final,137,0,0,1,0,0,0,0,0,163
103,39,scoreA,148,1,0,1,3,1,2,3,153,5
103,39,fedrn,153,0,0,0,0,0,0,0,162,0
103,39,final,153,0,0,0,0,0,0,0,162,0
103,82,scoreA,0,0,0,2,138,1,0,2,131,1
103,82,fedrn,0,0,0,0,144,0,0,0,147,0
103,82,final,0,0,0,0,144,0,0,0,147,0
104,64,scoreA,0,0,294,0,0,0,0,1,0,2
104,64,fedrn,0,0,300,0,0,0,0,0,0,0
104,64,final,0,0,300,0,0,0,0,0,0,0
104,80,scoreA,1,2,0,2,2,0,291,3,0,3
104,80,fedrn,0,0,0,0,0,0,300,0,0,0
104,80,final,0,0,0,0,0,0,300,0,0,0
104,31,scoreA,141,148,1,1,6,2,1,2,1,3
104,31,fedrn,142,159,0,0,0,0,0,0,0,0
104,31,final,142,159,0,0,0,0,0,0,0,0
104,23,scoreA,2,144,1,6,3,143,1,4,3,1
104,23,fedrn,0,150,0,0,0,151,0,0,0,0
104,23,final,0,150,0,0,0,151,0,0,0,0
104,20,scoreA,1,0,127,10,2,0,3,166,3,1
104,20,fedrn,0,0,121,0,0,0,0,175,0,0
104,20,final,0,0,121,0,0,0,0,175,0,0
104,60,scoreA,0,2,298,1,0,1,0,0,0,1
104,60,fedrn,0,0,300,0,0,0,0,0,0,0
104,60,final,0,0,300,0,0,0,0,0,0,0
104,68,scoreA,0,0,0,0,0,0,156,0,0,143
104,68,fedrn,0,0,0,0,0,0,161,0,0,157
104,68,final,0,0,0,0,0,0,161,0,0,157
104,25,scoreA,1,0,2,150,0,0,3,3,138,3
104,25,fedrn,0,0,0,155,0,0,0,0,142,0
104,25,final,0,0,0,155,0,0,0,0,142,0
104,98,scoreA,0,0,0,0,155,165,0,0,0,0
104,98,fedrn,0,0,0,0,156,168,0,0,0,0
104,98,final,0,0,0,0,156,168,0,0,0,0
104,24,scoreA,2,1,2,7,135,156,1,7,3,10
104,24,fedrn,0,0,0,0,150,161,0,0,0,0
