epoch,client_id,fedrn_clean_count,net2_clean_count,final_clean_count,fedrn_only_clean_count,net2_only_clean_count,both_clean_count,fedrn_only_precision,net2_only_precision,both_precision,fedrn_precision,net2_precision,final_precision,fedrn_recall,net2_recall,final_recall
200,55,304,323,308,0,19,304,0.000000,0.315789,0.967105,0.967105,0.928793,0.961039,0.980000,1.000000,0.986667
200,41,297,304,300,0,7,297,0.000000,0.571429,0.979798,0.979798,0.970395,0.976667,0.970000,0.983333,0.976667
200,24,304,312,307,0,8,304,0.000000,1.000000,0.944079,0.944079,0.945513,0.944625,0.956667,0.983333,0.966667
200,4,300,299,299,2,1,298,0.500000,1.000000,0.989933,0.986667,0.989967,0.989967,0.986667,0.986667,0.986667
200,13,295,297,295,0,2,295,0.000000,1.000000,0.996610,0.996610,0.996633,0.996610,0.980000,0.986667,0.980000
200,71,302,302,301,3,3,299,0.333333,0.333333,0.993311,0.986755,0.986755,0.990033,0.993333,0.993333,0.993333
200,26,280,312,298,1,33,279,0.000000,0.696970,0.992832,0.989286,0.961538,0.986577,0.923333,1.000000,0.980000
200,56,299,304,303,0,5,299,0.000000,0.800000,0.983278,0.983278,0.980263,0.983498,0.980000,0.993333,0.993333
200,93,296,298,296,0,2,296,0.000000,1.000000,0.996622,0.996622,0.996644,0.996622,0.983333,0.990000,0.983333
200,82,300,300,300,2,2,298,0.500000,0.000000,0.989933,0.986667,0.983333,0.986667,0.986667,0.983333,0.986667
201,7,296,300,296,0,4,296,0.000000,1.000000,0.989865,0.989865,0.990000,0.989865,0.976667,0.990000,0.976667
201,92,298,297,298,1,0,297,1.000000,0.000000,0.993266,0.993289,0.993266,0.993289,0.986667,0.983333,0.986667
201,28,285,309,292,0,24,285,0.000000,0.708333,0.978947,0.978947,0.957929,0.979452,0.930000,0.986667,0.953333
201,43,292,294,293,1,3,291,1.000000,1.000000,0.996564,0.996575,0.996599,0.996587,0.970000,0.976667,0.973333
201,14,303,300,303,3,0,300,0.666667,0.000000,0.986667,0.983498,0.986667,0.983498,0.993333,0.986667,0.993333
