epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio
0,19.820000,2.264015,1.591594,1.000000,-1.000000,-1.000000,0,0,-1.000000
1,21.020000,2.157569,1.619017,1.000000,-1.000000,-1.000000,0,0,-1.000000
2,18.390000,2.201307,1.439499,1.000000,-1.000000,-1.000000,0,0,-1.000000
3,26.100000,2.124051,1.569903,1.000000,-1.000000,-1.000000,0,0,-1.000000
4,26.960000,2.123755,1.649567,1.000000,-1.000000,-1.000000,0,0,-1.000000
5,27.560000,2.123938,1.904740,1.000000,-1.000000,-1.000000,0,0,-1.000000
6,28.160000,2.081169,1.595307,1.000000,-1.000000,-1.000000,0,0,-1.000000
7,24.680000,2.124477,1.409304,1.000000,-1.000000,-1.000000,0,0,-1.000000
8,28.730000,2.064743,1.127971,1.000000,-1.000000,-1.000000,0,0,-1.000000
9,21.830000,2.111660,1.543885,1.000000,-1.000000,-1.000000,0,0,-1.000000
10,20.020000,2.153664,1.586623,1.000000,-1.000000,-1.000000,0,0,-1.000000
11,25.380000,2.072537,1.560145,1.000000,-1.000000,-1.000000,0,0,-1.000000
12,25.070000,2.106606,1.690109,1.000000,-1.000000,-1.000000,0,0,-1.000000
13,25.590000,2.071712,1.483102,1.000000,-1.000000,-1.000000,0,0,-1.000000
14,24.630000,2.071806,1.310429,1.000000,-1.000000,-1.000000,0,0,-1.000000
15,20.680000,2.074231,1.477332,1.000000,-1.000000,-1.000000,0,0,-1.000000
16,32.770000,2.010937,1.282300,1.000000,-1.000000,-1.000000,0,0,-1.000000
17,32.280000,1.998060,1.645679,1.000000,-1.000000,-1.000000,0,0,-1.000000
18,25.040000,2.052801,1.660126,1.000000,-1.000000,-1.000000,0,0,-1.000000
19,31.370000,2.034632,1.668937,1.000000,-1.000000,-1.000000,0,0,-1.000000
20,31.280000,2.007941,1.384627,1.000000,-1.000000,-1.000000,0,0,-1.000000
21,35.420000,1.974326,1.506801,1.000000,-1.000000,-1.000000,0,0,-1.000000
22,28.050000,2.011907,1.481962,1.000000,-1.000000,-1.000000,0,0,-1.000000
23,29.860000,2.030904,1.501321,1.000000,-1.000000,-1.000000,0,0,-1.000000
24,29.740000,2.018343,1.497141,1.000000,-1.000000,-1.000000,0,0,-1.000000
25,30.600000,1.989376,1.347830,1.000000,-1.000000,-1.000000,0,0,-1.000000
26,29.490000,1.991562,1.482960,1.000000,-1.000000,-1.000000,0,0,-1.000000
27,32.100000,1.959288,1.358645,1.000000,-1.000000,-1.000000,0,0,-1.000000
28,33.820000,1.963447,1.518599,1.000000,-1.000000,-1.000000,0,0,-1.000000
29,32.910000,2.002531,1.404002,1.000000,-1.000000,-1.000000,0,0,-1.000000
30,23.870000,2.031510,1.255970,1.000000,-1.000000,-1.000000,0,0,-1.000000
31,28.740000,2.008512,1.470015,1.000000,-1.000000,-1.000000,0,0,-1.000000
32,31.680000,1.990494,1.651489,1.000000,-1.000000,-1.000000,0,0,-1.000000
33,31.080000,2.008803,1.678454,1.000000,-1.000000,-1.000000,0,0,-1.000000
34,33.930000,1.960667,1.273801,1.000000,-1.000000,-1.000000,0,0,-1.000000
35,32.300000,1.974915,1.566457,1.000000,-1.000000,-1.000000,0,0,-1.000000
36,19.530000,2.066746,1.284044,1.000000,-1.000000,-1.000000,0,0,-1.000000
37,27.810000,1.995032,1.423768,1.000000,-1.000000,-1.000000,0,0,-1.000000
38,32.450000,2.007742,1.857162,1.000000,-1.000000,-1.000000,0,0,-1.000000
39,30.520000,2.012615,1.499458,1.000000,-1.000000,-1.000000,0,0,-1.000000
40,26.880000,2.001937,1.378040,1.000000,-1.000000,-1.000000,0,0,-1.000000
41,27.830000,2.007903,1.452458,1.000000,-1.000000,-1.000000,0,0,-1.000000
42,32.110000,1.992320,1.477113,1.000000,-1.000000,-1.000000,0,0,-1.000000
43,29.060000,1.983241,1.384953,1.000000,-1.000000,-1.000000,0,0,-1.000000
44,34.290000,1.941401,1.535422,1.000000,-1.000000,-1.000000,0,0,-1.000000
45,30.070000,1.975133,1.387804,1.000000,-1.000000,-1.000000,0,0,-1.000000
46,25.940000,2.039812,1.470476,1.000000,-1.000000,-1.000000,0,0,-1.000000
47,29.380000,1.998564,1.278749,1.000000,-1.000000,-1.000000,0,0,-1.000000
48,27.920000,2.021543,1.502172,1.000000,-1.000000,-1.000000,0,0,-1.000000
49,30.230000,2.032927,1.752282,1.000000,-1.000000,-1.000000,0,0,-1.000000
