epoch,client_id,scoreA_count,scoreA_precision,scoreA_recall,scoreA_false_clean,scoreA_missed_clean,true_clean_count,total_count
100,98,280,0.932143,0.870000,19,39,300,500
100,68,313,0.913738,0.953333,27,14,300,500
100,67,317,0.895899,0.946667,33,16,300,500
100,37,308,0.896104,0.920000,32,24,300,500
100,72,299,0.919732,0.916667,24,25,300,500
100,59,296,0.939189,0.926667,18,22,300,500
100,0,314,0.929936,0.973333,22,8,300,500
100,58,292,0.938356,0.913333,18,26,300,500
100,4,273,0.978022,0.890000,6,33,300,500
100,6,288,0.965278,0.926667,10,22,300,500
101,11,277,0.945848,0.873333,15,38,300,500
101,41,313,0.910543,0.950000,28,15,300,500
101,44,343,0.845481,0.966667,53,10,300,500
101,16,276,0.971014,0.893333,8,32,300,500
101,42,310,0.912903,0.943333,27,17,300,500
101,99,300,0.930000,0.930000,21,21,300,500
101,76,281,0.971530,0.910000,8,27,300,500
101,72,326,0.917178,0.996667,27,1,300,500
101,94,307,0.908795,0.930000,28,21,300,500
101,51,312,0.878205,0.913333,38,26,300,500
102,29,294,0.962585,0.943333,11,17,300,500
102,62,284,0.964789,0.913333,10,26,300,500
102,11,307,0.941368,0.963333,18,11,300,500
102,4,295,0.989831,0.973333,3,8,300,500
102,59,292,0.952055,0.926667,14,22,300,500
102,85,275,0.981818,0.900000,5,30,300,500
102,71,272,0.966912,0.876667,9,37,300,500
102,95,306,0.898693,0.916667,31,25,300,500
102,66,282,0.975177,0.916667,7,25,300,500
102,41,302,0.976821,0.983333,7,5,300,500
103,46,277,0.978339,0.903333,6,29,300,500
103,47,310,0.906452,0.936667,29,19,300,500
103,87,292,0.907534,0.883333,27,35,300,500
103,44,305,0.963934,0.980000,11,6,300,500
103,66,295,0.986441,0.970000,4,9,300,500
103,72,328,0.914634,1.000000,28,0,300,500
103,97,303,0.858086,0.866667,43,40,300,500
103,84,304,0.927632,0.940000,22,18,300,500
103,39,317,0.899054,0.950000,32,15,300,500
103,82,275,0.963636,0.883333,10,35,300,500
104,64,297,0.989899,0.980000,3,6,300,500
104,80,304,0.957237,0.970000,13,9,300,500
104,31,306,0.928105,0.946667,22,16,300,500
104,23,308,0.912338,0.936667,27,19,300,500
104,20,313,0.891374,0.930000,34,21,300,500
104,60,303,0.983498,0.993333,5,2,300,500
